TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:16:43 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:44 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:46 2023;-68;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:49 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:50 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:54 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:57 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:58 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:16:59 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:04 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:05 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:06 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:07 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:08 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:09 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:12 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:13 2023;-68;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:14 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:16 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:17 2023;-68;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:18 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:21 2023;-67;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:22 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:23 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:24 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:26 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:27 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:28 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:29 2023;-78;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:31 2023;-76;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:32 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:33 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:35 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:38 2023;-68;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:39 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:42 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:43 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:44 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:45 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:17:46 2023;-68;-10.55, 0;0, 0;10.55
