Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1674662447.616649972;2023-01-25 16:00:47;-75;-5.55, 15;0, 0;15.994
1674662447.853957453;2023-01-25 16:00:47;-56;-5.55, 15;0, 0;15.994
1674662448.575826823;2023-01-25 16:00:48;-54;-5.55, 15;0, 0;15.994
1674662452.739329506;2023-01-25 16:00:52;-56;-5.55, 15;0, 0;15.994
1674662452.759678746;2023-01-25 16:00:52;-55;-5.55, 15;0, 0;15.994
1674662452.947169024;2023-01-25 16:00:52;-56;-5.55, 15;0, 0;15.994
1674662452.967718617;2023-01-25 16:00:52;-55;-5.55, 15;0, 0;15.994
1674662454.640737264;2023-01-25 16:00:54;-56;-5.55, 15;0, 0;15.994
1674662454.856775504;2023-01-25 16:00:54;-53;-5.55, 15;0, 0;15.994
1674662454.876894115;2023-01-25 16:00:54;-70;-5.55, 15;0, 0;15.994
1674662455.381737634;2023-01-25 16:00:55;-57;-5.55, 15;0, 0;15.994
1674662455.768119411;2023-01-25 16:00:55;-57;-5.55, 15;0, 0;15.994
1674662456.250481800;2023-01-25 16:00:56;-56;-5.55, 15;0, 0;15.994
1674662456.272973226;2023-01-25 16:00:56;-55;-5.55, 15;0, 0;15.994
1674662456.719187411;2023-01-25 16:00:56;-56;-5.55, 15;0, 0;15.994
1674662457.289518966;2023-01-25 16:00:57;-56;-5.55, 15;0, 0;15.994
1674662457.352098262;2023-01-25 16:00:57;-57;-5.55, 15;0, 0;15.994
1674662458.603000484;2023-01-25 16:00:58;-53;-5.55, 15;0, 0;15.994
1674662459.322649113;2023-01-25 16:00:59;-52;-5.55, 15;0, 0;15.994
1674662462.781251592;2023-01-25 16:01:02;-58;-5.55, 15;0, 0;15.994
1674662462.954641074;2023-01-25 16:01:02;-59;-5.55, 15;0, 0;15.994
1674662462.979022796;2023-01-25 16:01:02;-63;-5.55, 15;0, 0;15.994
1674662463.578201573;2023-01-25 16:01:03;-60;-5.55, 15;0, 0;15.994
1674662463.597995221;2023-01-25 16:01:03;-57;-5.55, 15;0, 0;15.994
1674662464.175761425;2023-01-25 16:01:04;-58;-5.55, 15;0, 0;15.994
1674662464.196180795;2023-01-25 16:01:04;-57;-5.55, 15;0, 0;15.994
1674662465.456847202;2023-01-25 16:01:05;-57;-5.55, 15;0, 0;15.994
1674662465.476985053;2023-01-25 16:01:05;-57;-5.55, 15;0, 0;15.994
1674662466.268203331;2023-01-25 16:01:06;-57;-5.55, 15;0, 0;15.994
1674662466.898220979;2023-01-25 16:01:06;-57;-5.55, 15;0, 0;15.994
1674662466.918517182;2023-01-25 16:01:06;-56;-5.55, 15;0, 0;15.994
1674662467.120150053;2023-01-25 16:01:07;-57;-5.55, 15;0, 0;15.994
1674662467.766980089;2023-01-25 16:01:07;-62;-5.55, 15;0, 0;15.994
1674662468.041023682;2023-01-25 16:01:08;-55;-5.55, 15;0, 0;15.994
1674662468.214364163;2023-01-25 16:01:08;-54;-5.55, 15;0, 0;15.994
1674662468.495645644;2023-01-25 16:01:08;-57;-5.55, 15;0, 0;15.994
1674662468.513929126;2023-01-25 16:01:08;-57;-5.55, 15;0, 0;15.994
1674662468.999152496;2023-01-25 16:01:08;-57;-5.55, 15;0, 0;15.994
1674662469.042938311;2023-01-25 16:01:09;-52;-5.55, 15;0, 0;15.994
1674662472.035014735;2023-01-25 16:01:12;-57;-5.55, 15;0, 0;15.994
1674662472.221877679;2023-01-25 16:01:12;-57;-5.55, 15;0, 0;15.994
1674662472.241121642;2023-01-25 16:01:12;-56;-5.55, 15;0, 0;15.994
1674662472.878134160;2023-01-25 16:01:12;-57;-5.55, 15;0, 0;15.994
1674662472.897488290;2023-01-25 16:01:12;-56;-5.55, 15;0, 0;15.994
1674662473.096143253;2023-01-25 16:01:13;-57;-5.55, 15;0, 0;15.994
1674662473.735680604;2023-01-25 16:01:13;-57;-5.55, 15;0, 0;15.994
1674662473.754969049;2023-01-25 16:01:13;-56;-5.55, 15;0, 0;15.994
1674662473.969418993;2023-01-25 16:01:13;-56;-5.55, 15;0, 0;15.994
1674662473.989732252;2023-01-25 16:01:13;-56;-5.55, 15;0, 0;15.994
1674662474.180425622;2023-01-25 16:01:14;-56;-5.55, 15;0, 0;15.994
1674662474.267916215;2023-01-25 16:01:14;-61;-5.55, 15;0, 0;15.994
1674662474.287225011;2023-01-25 16:01:14;-62;-5.55, 15;0, 0;15.994
1674662475.519422714;2023-01-25 16:01:15;-56;-5.55, 15;0, 0;15.994
1674662475.838179936;2023-01-25 16:01:15;-56;-5.55, 15;0, 0;15.994
1674662476.484895788;2023-01-25 16:01:16;-57;-5.55, 15;0, 0;15.994
1674662476.774797899;2023-01-25 16:01:16;-57;-5.55, 15;0, 0;15.994
1674662477.625710620;2023-01-25 16:01:17;-50;-5.55, 15;0, 0;15.994
1674662477.645927935;2023-01-25 16:01:17;-54;-5.55, 15;0, 0;15.994
1674662482.029471877;2023-01-25 16:01:22;-57;-5.55, 15;0, 0;15.994
1674662482.049884525;2023-01-25 16:01:22;-57;-5.55, 15;0, 0;15.994
1674662483.398339209;2023-01-25 16:01:23;-56;-5.55, 15;0, 0;15.994
1674662483.571800950;2023-01-25 16:01:23;-55;-5.55, 15;0, 0;15.994
1674662484.203654042;2023-01-25 16:01:24;-56;-5.55, 15;0, 0;15.994
1674662484.224745116;2023-01-25 16:01:24;-56;-5.55, 15;0, 0;15.994
1674662484.418248005;2023-01-25 16:01:24;-57;-5.55, 15;0, 0;15.994
1674662484.440471394;2023-01-25 16:01:24;-57;-5.55, 15;0, 0;15.994
1674662485.084494375;2023-01-25 16:01:25;-57;-5.55, 15;0, 0;15.994
1674662485.268284764;2023-01-25 16:01:25;-57;-5.55, 15;0, 0;15.994
1674662509.846307305;2023-01-25 16:01:49;-57;-5.55, 15;0, 0;15.994
1674662510.669852045;2023-01-25 16:01:50;-58;-5.55, 15;0, 0;15.994
1674662510.830099786;2023-01-25 16:01:50;-57;-5.55, 15;0, 0;15.994
1674662511.694037896;2023-01-25 16:01:51;-58;-5.55, 15;0, 0;15.994
1674662511.715970859;2023-01-25 16:01:51;-58;-5.55, 15;0, 0;15.994
1674662511.739640044;2023-01-25 16:01:51;-59;-5.55, 15;0, 0;15.994
1674662511.783277618;2023-01-25 16:01:51;-62;-5.55, 15;0, 0;15.994
1674662513.270451451;2023-01-25 16:01:53;-57;-5.55, 15;0, 0;15.994
1674662513.290839581;2023-01-25 16:01:53;-56;-5.55, 15;0, 0;15.994
1674662513.504896710;2023-01-25 16:01:53;-56;-5.55, 15;0, 0;15.994
1674662513.525792451;2023-01-25 16:01:53;-56;-5.55, 15;0, 0;15.994
1674662514.957933728;2023-01-25 16:01:54;-59;-5.55, 15;0, 0;15.994
1674662515.403554042;2023-01-25 16:01:55;-49;-5.55, 15;0, 0;15.994
1674662515.422931339;2023-01-25 16:01:55;-54;-5.55, 15;0, 0;15.994
1674662520.734915854;2023-01-25 16:02:00;-55;-5.55, 15;0, 0;15.994
1674662520.754565984;2023-01-25 16:02:00;-56;-5.55, 15;0, 0;15.994
1674662521.123919094;2023-01-25 16:02:01;-57;-5.55, 15;0, 0;15.994
1674662521.849850242;2023-01-25 16:02:01;-57;-5.55, 15;0, 0;15.994
1674662522.759476834;2023-01-25 16:02:02;-57;-5.55, 15;0, 0;15.994
1674662522.947171038;2023-01-25 16:02:02;-57;-5.55, 15;0, 0;15.994
1674662523.013439890;2023-01-25 16:02:03;-63;-5.55, 15;0, 0;15.994
1674662524.841280296;2023-01-25 16:02:04;-101;-5.55, 15;0, 0;15.994
1674662525.724945295;2023-01-25 16:02:05;-56;-5.55, 15;0, 0;15.994
1674662525.745413962;2023-01-25 16:02:05;-52;-5.55, 15;0, 0;15.994
1674662525.983811851;2023-01-25 16:02:05;-51;-5.55, 15;0, 0;15.994
1674662530.021232534;2023-01-25 16:02:10;-56;-5.55, 15;0, 0;15.994
1674662530.249290645;2023-01-25 16:02:10;-56;-5.55, 15;0, 0;15.994
1674662534.164869050;2023-01-25 16:02:14;-58;-5.55, 15;0, 0;15.994
1674662534.187273235;2023-01-25 16:02:14;-56;-5.55, 15;0, 0;15.994
1674662534.209259327;2023-01-25 16:02:14;-57;-5.55, 15;0, 0;15.994
1674662534.826376475;2023-01-25 16:02:14;-53;-5.55, 15;0, 0;15.994
1674662535.052568882;2023-01-25 16:02:15;-58;-5.55, 15;0, 0;15.994
1674662535.252518901;2023-01-25 16:02:15;-52;-5.55, 15;0, 0;15.994
1674662568.019086048;2023-01-25 16:02:48;-56;-5.55, 15;0, 0;15.994
1674662568.038851289;2023-01-25 16:02:48;-55;-5.55, 15;0, 0;15.994
1674662568.270357974;2023-01-25 16:02:48;-56;-5.55, 15;0, 0;15.994
1674662568.850269418;2023-01-25 16:02:48;-57;-5.55, 15;0, 0;15.994
1674662569.030469251;2023-01-25 16:02:49;-56;-5.55, 15;0, 0;15.994
1674662569.051627677;2023-01-25 16:02:49;-55;-5.55, 15;0, 0;15.994
1674662570.011324565;2023-01-25 16:02:50;-56;-5.55, 15;0, 0;15.994
1674662570.671415843;2023-01-25 16:02:50;-57;-5.55, 15;0, 0;15.994
1674662570.717605657;2023-01-25 16:02:50;-58;-5.55, 15;0, 0;15.994
1674662570.761387028;2023-01-25 16:02:50;-62;-5.55, 15;0, 0;15.994
1674662573.872924007;2023-01-25 16:02:53;-58;-5.55, 15;0, 0;15.994
1674662574.176709674;2023-01-25 16:02:54;-52;-5.55, 15;0, 0;15.994
1674662574.196483729;2023-01-25 16:02:54;-52;-5.55, 15;0, 0;15.994
1674662574.334265118;2023-01-25 16:02:54;-51;-5.55, 15;0, 0;15.994
1674662574.356787507;2023-01-25 16:02:54;-52;-5.55, 15;0, 0;15.994
1674662578.362989208;2023-01-25 16:02:58;-57;-5.55, 15;0, 0;15.994
1674662578.382858171;2023-01-25 16:02:58;-57;-5.55, 15;0, 0;15.994
1674662578.529238560;2023-01-25 16:02:58;-57;-5.55, 15;0, 0;15.994
1674662579.374493467;2023-01-25 16:02:59;-57;-5.55, 15;0, 0;15.994
1674662580.049459356;2023-01-25 16:03:00;-58;-5.55, 15;0, 0;15.994
1674662580.071966874;2023-01-25 16:03:00;-56;-5.55, 15;0, 0;15.994
1674662580.158394744;2023-01-25 16:03:00;-58;-5.55, 15;0, 0;15.994
1674662580.881742114;2023-01-25 16:03:00;-58;-5.55, 15;0, 0;15.994
1674662580.901315966;2023-01-25 16:03:00;-57;-5.55, 15;0, 0;15.994
1674662581.020489466;2023-01-25 16:03:01;-57;-5.55, 15;0, 0;15.994
1674662581.040374781;2023-01-25 16:03:01;-58;-5.55, 15;0, 0;15.994
1674662581.754446521;2023-01-25 16:03:01;-58;-5.55, 15;0, 0;15.994
1674662581.852084651;2023-01-25 16:03:01;-57;-5.55, 15;0, 0;15.994
1674662581.872184892;2023-01-25 16:03:01;-57;-5.55, 15;0, 0;15.994
1674662582.610796132;2023-01-25 16:03:02;-58;-5.55, 15;0, 0;15.994
1674662582.760528169;2023-01-25 16:03:02;-62;-5.55, 15;0, 0;15.994
1674662582.780606854;2023-01-25 16:03:02;-62;-5.55, 15;0, 0;15.994
1674662582.894617428;2023-01-25 16:03:02;-60;-5.55, 15;0, 0;15.994
1674662582.913745280;2023-01-25 16:03:02;-60;-5.55, 15;0, 0;15.994
1674662583.047800724;2023-01-25 16:03:03;17;-5.55, 15;0, 0;15.994
1674662583.155996132;2023-01-25 16:03:03;-55;-5.55, 15;0, 0;15.994
1674662583.181574465;2023-01-25 16:03:03;-56;-5.55, 15;0, 0;15.994
1674662583.200622872;2023-01-25 16:03:03;-55;-5.55, 15;0, 0;15.994
1674662583.267763428;2023-01-25 16:03:03;-100;-5.55, 15;0, 0;15.994
1674662583.726311390;2023-01-25 16:03:03;-59;-5.55, 15;0, 0;15.994
1674662583.744259853;2023-01-25 16:03:03;-59;-5.55, 15;0, 0;15.994
1674662583.821781464;2023-01-25 16:03:03;-58;-5.55, 15;0, 0;15.994
1674662584.216537520;2023-01-25 16:03:04;-52;-5.55, 15;0, 0;15.994
1674662584.236812890;2023-01-25 16:03:04;-54;-5.55, 15;0, 0;15.994
1674662584.352577834;2023-01-25 16:03:04;-76;-5.55, 15;0, 0;15.994
1674662588.105549962;2023-01-25 16:03:08;-55;-5.55, 15;0, 0;15.994
1674662588.592227350;2023-01-25 16:03:08;-57;-5.55, 15;0, 0;15.994
1674662588.615297017;2023-01-25 16:03:08;-58;-5.55, 15;0, 0;15.994
1674662588.634651776;2023-01-25 16:03:08;-57;-5.55, 15;0, 0;15.994
1674662588.659044980;2023-01-25 16:03:08;-62;-5.55, 15;0, 0;15.994
1674662588.678521536;2023-01-25 16:03:08;-62;-5.55, 15;0, 0;15.994
1674662589.741849887;2023-01-25 16:03:09;-57;-5.55, 15;0, 0;15.994
1674662589.828074609;2023-01-25 16:03:09;-55;-5.55, 15;0, 0;15.994
