Date ISO;Rx Power [dBm]
2023-06-27 09:32:39;-61
2023-06-27 09:32:39;-61
2023-06-27 09:32:39;-61
2023-06-27 09:32:40;-61
2023-06-27 09:32:40;-62
2023-06-27 09:32:40;-61
2023-06-27 09:32:40;-62
2023-06-27 09:32:40;-63
2023-06-27 09:32:45;-61
2023-06-27 09:32:45;-62
2023-06-27 09:32:48;-66
2023-06-27 09:32:50;-61
2023-06-27 09:32:50;-61
2023-06-27 09:32:50;-66
2023-06-27 09:32:53;-61
2023-06-27 09:32:53;-62
2023-06-27 09:32:53;-64
2023-06-27 09:32:55;-61
2023-06-27 09:32:56;-64
2023-06-27 09:32:58;-61
2023-06-27 09:32:58;-61
2023-06-27 09:32:58;-66
2023-06-27 09:33:01;-61
2023-06-27 09:33:01;-62
2023-06-27 09:33:01;-65
2023-06-27 09:33:04;-61
2023-06-27 09:33:06;-61
2023-06-27 09:33:06;-66
2023-06-27 09:33:09;-60
2023-06-27 09:33:09;-61
2023-06-27 09:33:09;-66
2023-06-27 09:33:11;-61
2023-06-27 09:33:12;-62
2023-06-27 09:33:14;-61
2023-06-27 09:33:14;-62
2023-06-27 09:33:14;-66
2023-06-27 09:33:17;-62
2023-06-27 09:33:17;-66
2023-06-27 09:33:20;-60
2023-06-27 09:33:20;-65
2023-06-27 09:33:22;-62
2023-06-27 09:33:22;-62
2023-06-27 09:33:22;-66
2023-06-27 09:33:25;-60
2023-06-27 09:33:25;-66
2023-06-27 09:33:28;-60
2023-06-27 09:33:28;-76
2023-06-27 09:33:30;-62
2023-06-27 09:33:30;-66
2023-06-27 09:33:33;-61
2023-06-27 09:33:33;-61
2023-06-27 09:33:36;-61
2023-06-27 09:33:38;-61
2023-06-27 09:33:38;-65
2023-06-27 09:33:44;-60
2023-06-27 09:33:44;-61
2023-06-27 09:33:46;-60
2023-06-27 09:33:47;-66
2023-06-27 09:33:49;-62
2023-06-27 09:33:52;-61
2023-06-27 09:33:52;-62
2023-06-27 09:33:52;-66
2023-06-27 09:33:54;-61
2023-06-27 09:33:54;-61
2023-06-27 09:33:55;-65
2023-06-27 09:33:57;-61
2023-06-27 09:33:57;-66
2023-06-27 09:34:00;-60
2023-06-27 09:34:00;-62
2023-06-27 09:34:00;-66
2023-06-27 09:34:05;-60
2023-06-27 09:34:05;-62
2023-06-27 09:34:05;-65
2023-06-27 09:34:08;-61
2023-06-27 09:34:08;-62
2023-06-27 09:34:08;-66
2023-06-27 09:34:10;-61
2023-06-27 09:34:11;-60
2023-06-27 09:34:13;-62
2023-06-27 09:34:13;-65
2023-06-27 09:34:21;-71
2023-06-27 09:34:21;-65
2023-06-27 09:34:24;-61
2023-06-27 09:34:24;-66
2023-06-27 09:34:27;-61
2023-06-27 09:34:27;-65
2023-06-27 09:34:29;-61
2023-06-27 09:34:29;-76
2023-06-27 09:34:29;-66
2023-06-27 09:34:32;-61
2023-06-27 09:34:32;-79
2023-06-27 09:34:35;-60
2023-06-27 09:34:35;-61
2023-06-27 09:34:35;-65
2023-06-27 09:34:37;-61
2023-06-27 09:34:37;-62
2023-06-27 09:34:37;-65
2023-06-27 09:34:40;-61
2023-06-27 09:34:40;-60
2023-06-27 09:34:40;-66
2023-06-27 09:34:43;-61
2023-06-27 09:34:43;-61
2023-06-27 09:34:43;-71
2023-06-27 09:34:45;-60
2023-06-27 09:34:45;-61
2023-06-27 09:34:46;-65
2023-06-27 09:34:48;-61
2023-06-27 09:34:48;-61
2023-06-27 09:34:48;-66
2023-06-27 09:34:51;-61
2023-06-27 09:34:51;-61
2023-06-27 09:34:51;-65
2023-06-27 09:34:53;-60
2023-06-27 09:34:54;-65
2023-06-27 09:34:56;-65
2023-06-27 09:34:59;-61
2023-06-27 09:34:59;-61
2023-06-27 09:35:02;-62
2023-06-27 09:35:04;-61
2023-06-27 09:35:04;-66
2023-06-27 09:35:07;-60
2023-06-27 09:35:07;-61
2023-06-27 09:35:07;-66
2023-06-27 09:35:10;-60
2023-06-27 09:35:10;-62
2023-06-27 09:35:12;-61
2023-06-27 09:35:12;-61
2023-06-27 09:35:15;-61
2023-06-27 09:35:15;-62
2023-06-27 09:35:15;-66
2023-06-27 09:35:18;-61
2023-06-27 09:35:18;-61
2023-06-27 09:35:18;-66
2023-06-27 09:35:20;-61
2023-06-27 09:35:23;-61
2023-06-27 09:35:26;-61
2023-06-27 09:35:26;-66
2023-06-27 09:35:28;-61
2023-06-27 09:35:28;-63
2023-06-27 09:35:28;-66
2023-06-27 09:35:31;-61
2023-06-27 09:35:31;-66
2023-06-27 09:35:34;-61
2023-06-27 09:35:34;-65
2023-06-27 09:35:36;-61
2023-06-27 09:35:37;-66
