Date ISO;Rx Power [dBm]
2023-06-27 09:21:10;-65
2023-06-27 09:21:10;-64
2023-06-27 09:21:13;-65
2023-06-27 09:21:13;-69
2023-06-27 09:21:15;-65
2023-06-27 09:21:15;-69
2023-06-27 09:21:18;-65
2023-06-27 09:21:18;-69
2023-06-27 09:21:21;-65
2023-06-27 09:21:21;-70
2023-06-27 09:21:23;-64
2023-06-27 09:21:23;-70
2023-06-27 09:21:26;-63
2023-06-27 09:21:26;-65
2023-06-27 09:21:26;-70
2023-06-27 09:21:29;-63
2023-06-27 09:21:29;-63
2023-06-27 09:21:29;-68
2023-06-27 09:21:31;-63
2023-06-27 09:21:31;-64
2023-06-27 09:21:34;-65
2023-06-27 09:21:34;-66
2023-06-27 09:21:34;-69
2023-06-27 09:21:37;-65
2023-06-27 09:21:37;-69
2023-06-27 09:21:39;-65
2023-06-27 09:21:40;-69
2023-06-27 09:21:42;-66
2023-06-27 09:21:45;-63
2023-06-27 09:21:45;-65
2023-06-27 09:21:45;-69
2023-06-27 09:21:53;-69
2023-06-27 09:21:55;-64
2023-06-27 09:21:56;-65
2023-06-27 09:21:56;-69
2023-06-27 09:21:58;-65
2023-06-27 09:21:58;-69
2023-06-27 09:22:01;-65
2023-06-27 09:22:01;-69
2023-06-27 09:22:04;-63
2023-06-27 09:22:04;-65
2023-06-27 09:22:04;-69
2023-06-27 09:22:06;-64
2023-06-27 09:22:06;-65
2023-06-27 09:22:06;-70
2023-06-27 09:22:09;-63
2023-06-27 09:22:09;-64
2023-06-27 09:22:09;-69
2023-06-27 09:22:12;-65
2023-06-27 09:22:12;-69
2023-06-27 09:22:14;-63
2023-06-27 09:22:14;-65
2023-06-27 09:22:14;-69
2023-06-27 09:22:17;-64
2023-06-27 09:22:17;-69
2023-06-27 09:22:20;-64
2023-06-27 09:22:20;-70
2023-06-27 09:22:25;-65
2023-06-27 09:22:30;-63
2023-06-27 09:22:30;-64
2023-06-27 09:22:31;-64
2023-06-27 09:22:31;-70
2023-06-27 09:22:36;-64
2023-06-27 09:22:36;-64
2023-06-27 09:22:36;-64
2023-06-27 09:22:37;-70
2023-06-27 09:22:37;-69
2023-06-27 09:22:47;-64
2023-06-27 09:22:47;-69
2023-06-27 09:22:49;-63
2023-06-27 09:22:49;-69
2023-06-27 09:22:52;-63
2023-06-27 09:22:52;-70
2023-06-27 09:22:57;-63
2023-06-27 09:22:57;-70
2023-06-27 09:23:00;-65
2023-06-27 09:23:00;-65
2023-06-27 09:23:00;-69
2023-06-27 09:23:03;-63
2023-06-27 09:23:03;-65
2023-06-27 09:23:05;-64
2023-06-27 09:23:05;-69
2023-06-27 09:23:13;-64
2023-06-27 09:23:13;-65
2023-06-27 09:23:16;-65
2023-06-27 09:23:16;-69
2023-06-27 09:23:19;-64
2023-06-27 09:23:19;-64
2023-06-27 09:23:19;-69
2023-06-27 09:23:21;-64
2023-06-27 09:23:21;-82
2023-06-27 09:23:24;-63
2023-06-27 09:23:24;-65
2023-06-27 09:23:24;-69
2023-06-27 09:23:27;-68
2023-06-27 09:23:27;-68
2023-06-27 09:23:27;-65
2023-06-27 09:23:27;-65
2023-06-27 09:23:27;-63
2023-06-27 09:23:28;-64
2023-06-27 09:23:32;-63
2023-06-27 09:23:32;-65
2023-06-27 09:23:32;-69
2023-06-27 09:23:35;-65
2023-06-27 09:23:35;-69
2023-06-27 09:23:37;-65
2023-06-27 09:23:38;-69
2023-06-27 09:23:40;-63
2023-06-27 09:23:40;-65
2023-06-27 09:23:40;-69
2023-06-27 09:23:43;-63
2023-06-27 09:23:43;-65
2023-06-27 09:23:46;-65
2023-06-27 09:23:46;-69
2023-06-27 09:23:48;-64
2023-06-27 09:23:48;-64
2023-06-27 09:23:51;-63
2023-06-27 09:23:51;-65
2023-06-27 09:23:53;-65
2023-06-27 09:23:54;-69
2023-06-27 09:24:04;-69
2023-06-27 09:24:04;-67
2023-06-27 09:24:05;-69
2023-06-27 09:24:11;-72
2023-06-27 09:24:15;-63
2023-06-27 09:24:15;-65
2023-06-27 09:24:15;-69
2023-06-27 09:24:23;-63
2023-06-27 09:24:23;-64
2023-06-27 09:24:26;-64
2023-06-27 09:24:26;-69
2023-06-27 09:24:31;-65
2023-06-27 09:24:31;-70
2023-06-27 09:24:36;-64
2023-06-27 09:24:37;-65
2023-06-27 09:24:47;-69
2023-06-27 09:24:50;-65
2023-06-27 09:24:53;-64
2023-06-27 09:24:53;-65
2023-06-27 09:24:55;-70
2023-06-27 09:24:58;-63
2023-06-27 09:24:58;-65
2023-06-27 09:24:58;-69
2023-06-27 09:25:01;-69
2023-06-27 09:25:01;-63
2023-06-27 09:25:01;-64
2023-06-27 09:25:01;-65
2023-06-27 09:25:01;-64
2023-06-27 09:25:01;-69
2023-06-27 09:25:06;-65
2023-06-27 09:25:06;-65
2023-06-27 09:25:06;-69
2023-06-27 09:25:09;-64
2023-06-27 09:25:14;-63
2023-06-27 09:25:14;-64
2023-06-27 09:25:17;-63
2023-06-27 09:25:17;-69
2023-06-27 09:25:19;-64
2023-06-27 09:25:19;-65
2023-06-27 09:25:20;-69
2023-06-27 09:25:22;-64
2023-06-27 09:25:22;-65
2023-06-27 09:25:22;-68
2023-06-27 09:25:25;-63
2023-06-27 09:25:25;-65
2023-06-27 09:25:31;-72
2023-06-27 09:25:36;-65
2023-06-27 09:25:36;-69
2023-06-27 09:25:38;-64
2023-06-27 09:25:38;-64
2023-06-27 09:25:38;-69
2023-06-27 09:25:41;-63
2023-06-27 09:25:41;-69
2023-06-27 09:25:49;-65
2023-06-27 09:25:49;-65
2023-06-27 09:25:49;-69
2023-06-27 09:25:52;-65
2023-06-27 09:25:52;-69
2023-06-27 09:25:54;-65
2023-06-27 09:25:54;-70
2023-06-27 09:25:57;-64
2023-06-27 09:25:57;-70
2023-06-27 09:26:00;-65
2023-06-27 09:26:02;-64
2023-06-27 09:26:02;-65
2023-06-27 09:26:02;-69
2023-06-27 09:26:05;-64
2023-06-27 09:26:05;-65
2023-06-27 09:26:05;-69
2023-06-27 09:26:08;-63
2023-06-27 09:26:08;-65
2023-06-27 09:26:08;-69
2023-06-27 09:26:10;-63
2023-06-27 09:26:10;-65
2023-06-27 09:26:10;-69
2023-06-27 09:26:16;-63
2023-06-27 09:26:16;-64
2023-06-27 09:26:16;-69
2023-06-27 09:26:18;-63
2023-06-27 09:26:21;-64
2023-06-27 09:26:21;-69
2023-06-27 09:26:24;-63
2023-06-27 09:26:24;-65
2023-06-27 09:26:24;-69
2023-06-27 09:26:26;-64
2023-06-27 09:26:26;-63
2023-06-27 09:26:27;-75
2023-06-27 09:26:29;-69
2023-06-27 09:26:32;-64
2023-06-27 09:26:32;-69
2023-06-27 09:26:34;-63
2023-06-27 09:26:35;-69
2023-06-27 09:26:37;-63
2023-06-27 09:26:37;-70
2023-06-27 09:26:40;-63
2023-06-27 09:26:42;-63
2023-06-27 09:26:43;-65
2023-06-27 09:26:43;-70
2023-06-27 09:26:45;-64
2023-06-27 09:26:45;-65
2023-06-27 09:26:48;-63
2023-06-27 09:26:48;-69
2023-06-27 09:26:51;-65
2023-06-27 09:26:51;-69
2023-06-27 09:26:53;-64
2023-06-27 09:26:53;-65
2023-06-27 09:26:53;-69
2023-06-27 09:26:56;-63
2023-06-27 09:26:56;-69
2023-06-27 09:26:59;-64
2023-06-27 09:26:59;-69
2023-06-27 09:27:01;-63
2023-06-27 09:27:01;-68
2023-06-27 09:27:04;-63
2023-06-27 09:27:04;-65
2023-06-27 09:27:07;-63
2023-06-27 09:27:07;-65
2023-06-27 09:27:09;-64
2023-06-27 09:27:09;-65
2023-06-27 09:27:09;-69
2023-06-27 09:27:12;-64
2023-06-27 09:27:12;-65
2023-06-27 09:27:12;-70
2023-06-27 09:27:20;-65
2023-06-27 09:27:20;-63
2023-06-27 09:27:20;-63
2023-06-27 09:27:21;-65
2023-06-27 09:27:21;-64
2023-06-27 09:27:21;-63
2023-06-27 09:27:21;-63
2023-06-27 09:27:21;-63
2023-06-27 09:27:21;-65
2023-06-27 09:27:25;-65
2023-06-27 09:27:26;-65
2023-06-27 09:27:26;-69
2023-06-27 09:27:28;-63
2023-06-27 09:27:28;-65
2023-06-27 09:27:28;-69
2023-06-27 09:27:31;-65
2023-06-27 09:27:31;-70
2023-06-27 09:27:34;-65
2023-06-27 09:27:36;-63
2023-06-27 09:27:36;-65
2023-06-27 09:27:39;-83
2023-06-27 09:27:39;-64
2023-06-27 09:27:39;-69
2023-06-27 09:27:42;-65
2023-06-27 09:27:44;-64
2023-06-27 09:27:44;-64
2023-06-27 09:27:44;-69
2023-06-27 09:27:47;-64
2023-06-27 09:27:47;-65
2023-06-27 09:27:47;-69
2023-06-27 09:27:50;-63
2023-06-27 09:27:50;-69
2023-06-27 09:27:52;-65
2023-06-27 09:27:52;-64
2023-06-27 09:27:52;-69
2023-06-27 09:27:55;-63
2023-06-27 09:27:55;-65
2023-06-27 09:27:58;-63
2023-06-27 09:27:58;-65
2023-06-27 09:28:00;-65
2023-06-27 09:28:00;-69
2023-06-27 09:28:03;-69
2023-06-27 09:28:06;-72
2023-06-27 09:28:06;-69
2023-06-27 09:28:08;-63
2023-06-27 09:28:11;-69
2023-06-27 09:28:14;-63
2023-06-27 09:28:14;-69
2023-06-27 09:28:16;-63
2023-06-27 09:28:16;-64
2023-06-27 09:28:17;-69
2023-06-27 09:28:19;-63
2023-06-27 09:28:19;-65
2023-06-27 09:28:19;-69
2023-06-27 09:28:22;-63
2023-06-27 09:28:22;-65
2023-06-27 09:28:22;-73
2023-06-27 09:28:24;-64
2023-06-27 09:28:25;-69
2023-06-27 09:28:27;-65
2023-06-27 09:28:27;-69
2023-06-27 09:28:33;-65
2023-06-27 09:28:35;-64
2023-06-27 09:28:35;-69
2023-06-27 09:28:38;-65
2023-06-27 09:28:38;-69
2023-06-27 09:28:41;-64
2023-06-27 09:28:41;-69
2023-06-27 09:28:43;-65
2023-06-27 09:28:43;-69
2023-06-27 09:28:46;-63
2023-06-27 09:28:46;-69
2023-06-27 09:28:49;-65
2023-06-27 09:28:49;-69
2023-06-27 09:28:57;-63
2023-06-27 09:28:57;-65
2023-06-27 09:28:59;-63
2023-06-27 09:28:59;-65
2023-06-27 09:29:02;-63
2023-06-27 09:29:02;-69
2023-06-27 09:29:05;-63
2023-06-27 09:29:05;-65
2023-06-27 09:29:05;-69
2023-06-27 09:29:08;-69
2023-06-27 09:29:10;-73
2023-06-27 09:29:10;-65
2023-06-27 09:29:13;-64
2023-06-27 09:29:13;-65
2023-06-27 09:29:13;-70
2023-06-27 09:29:15;-63
2023-06-27 09:29:15;-65
2023-06-27 09:29:18;-71
2023-06-27 09:29:18;-65
2023-06-27 09:29:24;-65
2023-06-27 09:29:24;-64
2023-06-27 09:29:24;-63
2023-06-27 09:29:24;-64
2023-06-27 09:29:24;-65
2023-06-27 09:29:24;-64
2023-06-27 09:29:24;-68
2023-06-27 09:29:29;-68
2023-06-27 09:29:29;-63
2023-06-27 09:29:29;-64
2023-06-27 09:29:29;-63
2023-06-27 09:29:30;-64
2023-06-27 09:29:30;-69
2023-06-27 09:29:35;-71
2023-06-27 09:29:35;-68
2023-06-27 09:29:35;-69
2023-06-27 09:29:35;-65
2023-06-27 09:29:35;-66
2023-06-27 09:29:40;-63
2023-06-27 09:29:40;-69
2023-06-27 09:29:45;-65
2023-06-27 09:29:45;-65
2023-06-27 09:29:45;-69
2023-06-27 09:29:48;-64
2023-06-27 09:29:48;-65
2023-06-27 09:29:48;-70
2023-06-27 09:29:50;-64
2023-06-27 09:29:50;-65
2023-06-27 09:29:50;-64
2023-06-27 09:29:51;-63
2023-06-27 09:29:51;-63
2023-06-27 09:29:51;-69
2023-06-27 09:29:51;-70
2023-06-27 09:29:56;-65
2023-06-27 09:29:56;-65
2023-06-27 09:29:56;-69
2023-06-27 09:29:58;-63
2023-06-27 09:29:58;-65
2023-06-27 09:30:01;-64
2023-06-27 09:30:01;-65
2023-06-27 09:30:01;-69
2023-06-27 09:30:04;-63
2023-06-27 09:30:04;-65
2023-06-27 09:30:09;-64
2023-06-27 09:30:09;-65
2023-06-27 09:30:12;-63
2023-06-27 09:30:12;-65
2023-06-27 09:30:12;-69
2023-06-27 09:30:14;-65
2023-06-27 09:30:17;-63
2023-06-27 09:30:17;-69
2023-06-27 09:30:20;-64
2023-06-27 09:30:20;-65
2023-06-27 09:30:23;-68
2023-06-27 09:30:31;-66
2023-06-27 09:30:33;-63
2023-06-27 09:30:33;-65
2023-06-27 09:30:33;-72
2023-06-27 09:30:36;-64
2023-06-27 09:30:39;-64
2023-06-27 09:30:39;-65
2023-06-27 09:30:39;-69
2023-06-27 09:30:41;-63
2023-06-27 09:30:41;-65
2023-06-27 09:30:41;-69
2023-06-27 09:30:44;-64
2023-06-27 09:30:44;-64
2023-06-27 09:30:44;-79
2023-06-27 09:30:47;-64
2023-06-27 09:30:47;-65
2023-06-27 09:31:00;-64
2023-06-27 09:31:00;-70
2023-06-27 09:31:01;-70
