Timestamp;Rx Power [dBm]
Fri Mar 24 14:30:37 2023;-72
Fri Mar 24 14:30:40 2023;-74
Fri Mar 24 14:30:42 2023;-79
Fri Mar 24 14:30:43 2023;-78
Fri Mar 24 14:30:45 2023;-78
Fri Mar 24 14:30:48 2023;-75
Fri Mar 24 14:30:49 2023;-74
Fri Mar 24 14:30:52 2023;-66
Fri Mar 24 14:30:53 2023;-70
Fri Mar 24 14:30:54 2023;-64
Fri Mar 24 14:30:55 2023;-70
Fri Mar 24 14:30:56 2023;-65
Fri Mar 24 14:30:57 2023;-80
Fri Mar 24 14:31:01 2023;-65
Fri Mar 24 14:31:02 2023;-68
Fri Mar 24 14:31:03 2023;-62
Fri Mar 24 14:31:06 2023;-67
Fri Mar 24 14:31:07 2023;-81
Fri Mar 24 14:31:10 2023;-82
Fri Mar 24 14:31:11 2023;-78
Fri Mar 24 14:31:17 2023;-80
Fri Mar 24 14:31:19 2023;-80
Fri Mar 24 14:31:20 2023;-76
Fri Mar 24 14:31:21 2023;-75
Fri Mar 24 14:31:24 2023;-80
Fri Mar 24 14:31:25 2023;-77
Fri Mar 24 14:31:29 2023;-76
Fri Mar 24 14:31:30 2023;-74
Fri Mar 24 14:31:31 2023;-77
Fri Mar 24 14:31:33 2023;-79
Fri Mar 24 14:31:34 2023;-79
Fri Mar 24 14:31:36 2023;-84
Fri Mar 24 14:31:37 2023;-77
Fri Mar 24 14:31:38 2023;-74
Fri Mar 24 14:31:41 2023;-76
Fri Mar 24 14:31:42 2023;-77
Fri Mar 24 14:31:43 2023;-76
Fri Mar 24 14:31:44 2023;-77
Fri Mar 24 14:31:46 2023;-74
Fri Mar 24 14:31:47 2023;-79
Fri Mar 24 14:31:48 2023;-77
Fri Mar 24 14:31:53 2023;-79
Fri Mar 24 14:31:54 2023;-79
Fri Mar 24 14:31:55 2023;-77
Fri Mar 24 14:31:56 2023;-75
Fri Mar 24 14:31:57 2023;-74
Fri Mar 24 14:32:01 2023;-79
Fri Mar 24 14:32:02 2023;-81
Fri Mar 24 14:32:03 2023;-76
Fri Mar 24 14:32:04 2023;-80
Fri Mar 24 14:32:06 2023;-77
Fri Mar 24 14:32:08 2023;-77
Fri Mar 24 14:32:09 2023;-82
Fri Mar 24 14:32:11 2023;-73
Fri Mar 24 14:32:12 2023;-78
Fri Mar 24 14:32:14 2023;-76
Fri Mar 24 14:32:15 2023;-80
Fri Mar 24 14:32:16 2023;-74
Fri Mar 24 14:32:18 2023;-76
Fri Mar 24 14:32:19 2023;-75
Fri Mar 24 14:32:20 2023;-74
