Timestamp;Date ISO;Rx Power [dBm]
1679664144.926213973;2023-03-24 13:22:24;-70
1679664144.949147103;2023-03-24 13:22:24;-70
1679664144.992368380;2023-03-24 13:22:24;-70
1679664145.036556992;2023-03-24 13:22:25;-66
1679664145.057274325;2023-03-24 13:22:25;-67
1679664146.066465454;2023-03-24 13:22:26;-65
1679664146.086772417;2023-03-24 13:22:26;-61
1679664149.518969859;2023-03-24 13:22:29;-62
1679664149.538698396;2023-03-24 13:22:29;-59
1679664149.845330563;2023-03-24 13:22:29;-61
1679664150.702880414;2023-03-24 13:22:30;-63
1679664152.118390969;2023-03-24 13:22:32;-63
1679664152.437158209;2023-03-24 13:22:32;-63
1679664153.799068746;2023-03-24 13:22:33;-62
1679664153.819355653;2023-03-24 13:22:33;-62
1679664154.088043060;2023-03-24 13:22:34;-63
1679664154.340174560;2023-03-24 13:22:34;-62
1679664154.385064819;2023-03-24 13:22:34;-65
1679664154.428768097;2023-03-24 13:22:34;-75
1679664159.144077594;2023-03-24 13:22:39;-62
1679664159.922563094;2023-03-24 13:22:39;-65
1679664159.941917279;2023-03-24 13:22:39;-65
1679664159.965085446;2023-03-24 13:22:39;-67
1679664160.008828890;2023-03-24 13:22:40;-75
1679664162.558475555;2023-03-24 13:22:42;-63
1679664163.030819333;2023-03-24 13:22:43;-63
1679664163.798394721;2023-03-24 13:22:43;-62
1679664163.819046017;2023-03-24 13:22:43;-60
1679664164.269379258;2023-03-24 13:22:44;-70
1679664164.290920017;2023-03-24 13:22:44;-70
1679664164.696427480;2023-03-24 13:22:44;-59
1679664165.194159072;2023-03-24 13:22:45;-63
1679664165.213951646;2023-03-24 13:22:45;-63
1679664169.936657847;2023-03-24 13:22:49;-62
1679664169.956007829;2023-03-24 13:22:49;-64
1679664170.148136051;2023-03-24 13:22:50;-60
1679664170.170432347;2023-03-24 13:22:50;-62
1679664171.203947791;2023-03-24 13:22:51;-76
1679664172.614791771;2023-03-24 13:22:52;-65
1679664172.634111771;2023-03-24 13:22:52;-64
1679664173.963486604;2023-03-24 13:22:53;-66
