Timestamp;Rx Power [dBm]
Fri Mar 24 13:21:48 2023;-78
Fri Mar 24 13:21:51 2023;-80
Fri Mar 24 13:21:52 2023;-77
Fri Mar 24 13:21:53 2023;-78
Fri Mar 24 13:21:57 2023;-80
Fri Mar 24 13:21:59 2023;-80
Fri Mar 24 13:22:01 2023;-78
Fri Mar 24 13:22:02 2023;-77
Fri Mar 24 13:22:03 2023;-78
Fri Mar 24 13:22:04 2023;-80
Fri Mar 24 13:22:07 2023;-79
Fri Mar 24 13:22:08 2023;-81
Fri Mar 24 13:22:09 2023;-78
Fri Mar 24 13:22:10 2023;-76
Fri Mar 24 13:22:11 2023;-76
Fri Mar 24 13:22:12 2023;-78
Fri Mar 24 13:22:14 2023;-77
Fri Mar 24 13:22:15 2023;-80
Fri Mar 24 13:22:17 2023;-75
Fri Mar 24 13:22:19 2023;-74
Fri Mar 24 13:22:20 2023;-73
Fri Mar 24 13:22:21 2023;-79
Fri Mar 24 13:22:23 2023;-74
Fri Mar 24 13:22:24 2023;-79
Fri Mar 24 13:22:25 2023;-79
Fri Mar 24 13:22:28 2023;-75
Fri Mar 24 13:22:33 2023;-78
Fri Mar 24 13:22:34 2023;-79
Fri Mar 24 13:22:35 2023;-83
Fri Mar 24 13:22:36 2023;-78
Fri Mar 24 13:22:37 2023;-76
Fri Mar 24 13:22:38 2023;-75
Fri Mar 24 13:22:41 2023;-73
Fri Mar 24 13:22:42 2023;-73
Fri Mar 24 13:22:43 2023;-79
Fri Mar 24 13:22:46 2023;-75
Fri Mar 24 13:22:48 2023;-74
Fri Mar 24 13:22:53 2023;-79
Fri Mar 24 13:22:54 2023;-83
Fri Mar 24 13:22:55 2023;-81
Fri Mar 24 13:22:56 2023;-79
Fri Mar 24 13:22:57 2023;-80
Fri Mar 24 13:22:58 2023;-81
Fri Mar 24 13:23:00 2023;-77
Fri Mar 24 13:23:01 2023;-80
Fri Mar 24 13:23:03 2023;-82
Fri Mar 24 13:23:05 2023;-78
Fri Mar 24 13:23:06 2023;-79
Fri Mar 24 13:23:09 2023;-81
Fri Mar 24 13:23:11 2023;-80
Fri Mar 24 13:23:14 2023;-77
Fri Mar 24 13:23:15 2023;-81
Fri Mar 24 13:23:17 2023;-79
Fri Mar 24 13:23:19 2023;-79
Fri Mar 24 13:23:20 2023;-80
