Timestamp;Date ISO;Rx Power [dBm]
1679668250.453706082;2023-03-24 14:30:50;-53
1679668251.265120451;2023-03-24 14:30:51;-51
1679668251.284036859;2023-03-24 14:30:51;-51
1679668251.463878507;2023-03-24 14:30:51;-51
1679668251.932455710;2023-03-24 14:30:51;-55
1679668251.951749858;2023-03-24 14:30:51;-55
1679668251.976180840;2023-03-24 14:30:51;-50
1679668251.995492118;2023-03-24 14:30:51;17
1679668252.115109858;2023-03-24 14:30:52;-49
1679668252.151146266;2023-03-24 14:30:52;-53
1679668252.170523673;2023-03-24 14:30:52;-52
1679668252.215480729;2023-03-24 14:30:52;17
1679668256.673919689;2023-03-24 14:30:56;-49
1679668256.842670170;2023-03-24 14:30:56;-49
1679668257.506584263;2023-03-24 14:30:57;-49
1679668257.544952225;2023-03-24 14:30:57;-47
1679668257.587520688;2023-03-24 14:30:57;-87
1679668257.632434522;2023-03-24 14:30:57;-53
1679668258.302681910;2023-03-24 14:30:58;-48
1679668258.402698688;2023-03-24 14:30:58;-48
1679668258.425237669;2023-03-24 14:30:58;-49
1679668259.423383502;2023-03-24 14:30:59;-50
1679668259.501690891;2023-03-24 14:30:59;-48
1679668261.024825668;2023-03-24 14:31:01;-56
1679668261.084621427;2023-03-24 14:31:01;-55
1679668261.106467909;2023-03-24 14:31:01;-54
1679668262.056485575;2023-03-24 14:31:02;-47
1679668262.147704926;2023-03-24 14:31:02;-47
1679668262.170414149;2023-03-24 14:31:02;-48
1679668263.141470611;2023-03-24 14:31:03;-45
1679668263.162127852;2023-03-24 14:31:03;-45
1679668295.713529629;2023-03-24 14:31:35;-52
1679668296.573992295;2023-03-24 14:31:36;-52
1679668296.794703017;2023-03-24 14:31:36;-52
1679668297.943271331;2023-03-24 14:31:37;-52
1679668298.883753868;2023-03-24 14:31:38;-51
1679668300.226853293;2023-03-24 14:31:40;-49
1679668300.592855126;2023-03-24 14:31:40;-52
1679668300.636613515;2023-03-24 14:31:40;-50
1679668300.725387126;2023-03-24 14:31:40;-49
1679668300.770863015;2023-03-24 14:31:40;-49
1679668305.884464826;2023-03-24 14:31:45;-51
1679668305.969683752;2023-03-24 14:31:45;-52
1679668306.158185826;2023-03-24 14:31:46;-50
1679668306.181681030;2023-03-24 14:31:46;-52
1679668306.201212715;2023-03-24 14:31:46;-52
1679668306.225373641;2023-03-24 14:31:46;-56
1679668306.244828937;2023-03-24 14:31:46;-56
1679668306.735497548;2023-03-24 14:31:46;-52
1679668306.756876326;2023-03-24 14:31:46;-51
1679668307.664380510;2023-03-24 14:31:47;-51
1679668307.845650918;2023-03-24 14:31:47;-71
1679668307.869535177;2023-03-24 14:31:47;-49
1679668308.501888065;2023-03-24 14:31:48;-51
1679668308.665678528;2023-03-24 14:31:48;-49
1679668309.327906528;2023-03-24 14:31:49;-52
1679668309.351149972;2023-03-24 14:31:49;-52
1679668309.484987750;2023-03-24 14:31:49;-49
1679668310.446840138;2023-03-24 14:31:50;-49
1679668311.604460193;2023-03-24 14:31:51;-51
