Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 23:50;-71;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-79;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-72;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-79;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:50;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:51;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:52;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-85;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-84;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:53;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-84;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:54;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-73;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-75;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-80;-10.55, -7.5;0, 0;12.944
09/05/23 23:55;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-80;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-78;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-81;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-76;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-80;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-82;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-77;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-74;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-81;-10.55, -7.5;0, 0;12.944
09/05/23 23:56;-81;-10.55, -7.5;0, 0;12.944
