Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-61;-10.55, 0;0, 0;10.55
09/05/23 19:53;-61;-10.55, 0;0, 0;10.55
09/05/23 19:53;-64;-10.55, 0;0, 0;10.55
09/05/23 19:53;-58;-10.55, 0;0, 0;10.55
09/05/23 19:53;-60;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-58;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-58;-10.55, 0;0, 0;10.55
09/05/23 19:53;-60;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-60;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-64;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:53;-65;-10.55, 0;0, 0;10.55
09/05/23 19:53;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-62;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-57;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-57;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-64;-10.55, 0;0, 0;10.55
09/05/23 19:54;-58;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-57;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-65;-10.55, 0;0, 0;10.55
09/05/23 19:54;-57;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-59;-10.55, 0;0, 0;10.55
09/05/23 19:54;-60;-10.55, 0;0, 0;10.55
09/05/23 19:54;-60;-10.55, 0;0, 0;10.55
09/05/23 19:54;-79;-10.55, 0;0, 0;10.55
09/05/23 19:55;-57;-10.55, 0;0, 0;10.55
09/05/23 19:55;-56;-10.55, 0;0, 0;10.55
09/05/23 19:55;-62;-10.55, 0;0, 0;10.55
09/05/23 19:55;-56;-10.55, 0;0, 0;10.55
09/05/23 19:55;-59;-10.55, 0;0, 0;10.55
