Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 17:06:21 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:22 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:23 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:24 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:26 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:27 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:28 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:29 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:31 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:32 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:34 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:35 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:36 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:38 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:39 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:40 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:41 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:44 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:45 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:49 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:50 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:51 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:52 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:53 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:54 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:56 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:57 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:06:58 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:00 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:01 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:02 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:03 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:05 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:06 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:07 2023;-64;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:09 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:10 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:11 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:13 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:15 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:16 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:17 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:18 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:19 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:20 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:21 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:22 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:23 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:24 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:25 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:26 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:28 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:29 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:30 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:33 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:34 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:35 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:36 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:38 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:39 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:40 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:41 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:43 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:44 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:45 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:47 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:48 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:49 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:51 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:53 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:54 2023;-64;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:56 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:07:59 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:00 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:01 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:04 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:05 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:06 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:08 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:09 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:10 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:11 2023;-59;-10.55, -7.5;0, 0;12.944
