Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1674663403.479823439;2023-01-25 16:16:43;-57;-10.55, 0;0, 0;10.55
1674663403.500334291;2023-01-25 16:16:43;-56;-10.55, 0;0, 0;10.55
1674663403.526938550;2023-01-25 16:16:43;-57;-10.55, 0;0, 0;10.55
1674663403.589768291;2023-01-25 16:16:43;-57;-10.55, 0;0, 0;10.55
1674663409.286322546;2023-01-25 16:16:49;-56;-10.55, 0;0, 0;10.55
1674663409.305125028;2023-01-25 16:16:49;-56;-10.55, 0;0, 0;10.55
1674663409.432609232;2023-01-25 16:16:49;-54;-10.55, 0;0, 0;10.55
1674663409.452870583;2023-01-25 16:16:49;-56;-10.55, 0;0, 0;10.55
1674663410.191349324;2023-01-25 16:16:50;-57;-10.55, 0;0, 0;10.55
1674663410.356342324;2023-01-25 16:16:50;-56;-10.55, 0;0, 0;10.55
1674663411.094854008;2023-01-25 16:16:51;-61;-10.55, 0;0, 0;10.55
1674663411.139872675;2023-01-25 16:16:51;-66;-10.55, 0;0, 0;10.55
1674663412.520115285;2023-01-25 16:16:52;-55;-10.55, 0;0, 0;10.55
1674663412.831500081;2023-01-25 16:16:52;-54;-10.55, 0;0, 0;10.55
1674663412.851760822;2023-01-25 16:16:52;-55;-10.55, 0;0, 0;10.55
1674663414.003322933;2023-01-25 16:16:54;-64;-10.55, 0;0, 0;10.55
1674663414.023674266;2023-01-25 16:16:54;-63;-10.55, 0;0, 0;10.55
1674663414.514369192;2023-01-25 16:16:54;17;-10.55, 0;0, 0;10.55
1674663414.586360988;2023-01-25 16:16:54;-53;-10.55, 0;0, 0;10.55
1674663414.606030488;2023-01-25 16:16:54;-54;-10.55, 0;0, 0;10.55
1674663419.113930837;2023-01-25 16:16:59;-55;-10.55, 0;0, 0;10.55
1674663419.967697873;2023-01-25 16:16:59;-54;-10.55, 0;0, 0;10.55
1674663421.247016799;2023-01-25 16:17:01;-54;-10.55, 0;0, 0;10.55
1674663421.653831484;2023-01-25 16:17:01;-55;-10.55, 0;0, 0;10.55
1674663422.205191891;2023-01-25 16:17:02;-52;-10.55, 0;0, 0;10.55
1674663422.298715150;2023-01-25 16:17:02;-53;-10.55, 0;0, 0;10.55
1674663422.323776613;2023-01-25 16:17:02;-59;-10.55, 0;0, 0;10.55
1674663422.367455242;2023-01-25 16:17:02;-64;-10.55, 0;0, 0;10.55
1674663422.981671020;2023-01-25 16:17:02;-54;-10.55, 0;0, 0;10.55
1674663423.001182335;2023-01-25 16:17:03;-55;-10.55, 0;0, 0;10.55
1674663423.301774909;2023-01-25 16:17:03;-55;-10.55, 0;0, 0;10.55
1674663423.321039779;2023-01-25 16:17:03;-53;-10.55, 0;0, 0;10.55
1674663424.337738667;2023-01-25 16:17:04;-55;-10.55, 0;0, 0;10.55
1674663424.357925945;2023-01-25 16:17:04;-55;-10.55, 0;0, 0;10.55
1674663424.560198186;2023-01-25 16:17:04;-60;-10.55, 0;0, 0;10.55
1674663424.579927834;2023-01-25 16:17:04;-61;-10.55, 0;0, 0;10.55
1674663424.626642241;2023-01-25 16:17:04;-51;-10.55, 0;0, 0;10.55
1674663424.646541000;2023-01-25 16:17:04;-56;-10.55, 0;0, 0;10.55
1674663453.663167057;2023-01-25 16:17:33;-61;-10.55, 0;0, 0;10.55
1674663453.669419020;2023-01-25 16:17:33;-71;-10.55, 0;0, 0;10.55
1674663453.674151835;2023-01-25 16:17:33;-62;-10.55, 0;0, 0;10.55
1674663453.676746094;2023-01-25 16:17:33;-62;-10.55, 0;0, 0;10.55
1674663453.865562335;2023-01-25 16:17:33;-54;-10.55, 0;0, 0;10.55
1674663453.904569224;2023-01-25 16:17:33;-55;-10.55, 0;0, 0;10.55
1674663457.530521351;2023-01-25 16:17:37;-49;-10.55, 0;0, 0;10.55
1674663458.376559462;2023-01-25 16:17:38;-54;-10.55, 0;0, 0;10.55
1674663458.484446832;2023-01-25 16:17:38;-55;-10.55, 0;0, 0;10.55
1674663459.391797517;2023-01-25 16:17:39;-54;-10.55, 0;0, 0;10.55
1674663459.842857757;2023-01-25 16:17:39;-53;-10.55, 0;0, 0;10.55
1674663459.929401553;2023-01-25 16:17:39;-67;-10.55, 0;0, 0;10.55
1674663461.061806516;2023-01-25 16:17:41;-54;-10.55, 0;0, 0;10.55
1674663461.081448330;2023-01-25 16:17:41;-53;-10.55, 0;0, 0;10.55
1674663461.118143664;2023-01-25 16:17:41;-53;-10.55, 0;0, 0;10.55
1674663462.053306089;2023-01-25 16:17:42;-53;-10.55, 0;0, 0;10.55
1674663462.074377922;2023-01-25 16:17:42;-54;-10.55, 0;0, 0;10.55
1674663463.286851959;2023-01-25 16:17:43;-55;-10.55, 0;0, 0;10.55
1674663463.306150570;2023-01-25 16:17:43;-56;-10.55, 0;0, 0;10.55
1674663463.398116922;2023-01-25 16:17:43;-62;-10.55, 0;0, 0;10.55
1674663468.004923678;2023-01-25 16:17:48;-55;-10.55, 0;0, 0;10.55
1674663468.025464308;2023-01-25 16:17:48;-56;-10.55, 0;0, 0;10.55
1674663468.781430844;2023-01-25 16:17:48;-53;-10.55, 0;0, 0;10.55
1674663468.821856104;2023-01-25 16:17:48;-53;-10.55, 0;0, 0;10.55
1674663468.881316511;2023-01-25 16:17:48;-54;-10.55, 0;0, 0;10.55
1674663468.901540529;2023-01-25 16:17:48;-70;-10.55, 0;0, 0;10.55
1674663471.099599917;2023-01-25 16:17:51;-59;-10.55, 0;0, 0;10.55
1674663471.142291713;2023-01-25 16:17:51;-63;-10.55, 0;0, 0;10.55
1674663476.738773840;2023-01-25 16:17:56;-65;-10.55, 0;0, 0;10.55
1674663476.757128043;2023-01-25 16:17:56;-66;-10.55, 0;0, 0;10.55
1674663477.852035857;2023-01-25 16:17:57;-54;-10.55, 0;0, 0;10.55
1674663477.878241987;2023-01-25 16:17:57;-53;-10.55, 0;0, 0;10.55
1674663478.390278079;2023-01-25 16:17:58;-49;-10.55, 0;0, 0;10.55
1674663478.870751524;2023-01-25 16:17:58;-53;-10.55, 0;0, 0;10.55
1674663479.290139690;2023-01-25 16:17:59;-54;-10.55, 0;0, 0;10.55
1674663479.730798319;2023-01-25 16:17:59;-53;-10.55, 0;0, 0;10.55
1674663480.120610097;2023-01-25 16:18:00;-53;-10.55, 0;0, 0;10.55
1674663480.570873060;2023-01-25 16:18:00;-53;-10.55, 0;0, 0;10.55
1674663481.403326818;2023-01-25 16:18:01;-54;-10.55, 0;0, 0;10.55
1674663481.427019707;2023-01-25 16:18:01;-53;-10.55, 0;0, 0;10.55
1674663481.811278837;2023-01-25 16:18:01;-49;-10.55, 0;0, 0;10.55
1674663482.473071818;2023-01-25 16:18:02;-59;-10.55, 0;0, 0;10.55
1674663482.516808373;2023-01-25 16:18:02;-56;-10.55, 0;0, 0;10.55
1674663482.625031688;2023-01-25 16:18:02;-53;-10.55, 0;0, 0;10.55
1674663482.693089910;2023-01-25 16:18:02;-56;-10.55, 0;0, 0;10.55
1674663486.910773426;2023-01-25 16:18:06;-53;-10.55, 0;0, 0;10.55
1674663487.994092037;2023-01-25 16:18:07;-65;-10.55, 0;0, 0;10.55
1674663497.174535827;2023-01-25 16:18:17;-54;-10.55, 0;0, 0;10.55
1674663497.194852309;2023-01-25 16:18:17;-53;-10.55, 0;0, 0;10.55
1674663499.860216178;2023-01-25 16:18:19;-54;-10.55, 0;0, 0;10.55
1674663499.879506344;2023-01-25 16:18:19;-53;-10.55, 0;0, 0;10.55
1674663500.921854862;2023-01-25 16:18:20;-54;-10.55, 0;0, 0;10.55
1674663500.941182362;2023-01-25 16:18:20;-53;-10.55, 0;0, 0;10.55
1674663501.173284621;2023-01-25 16:18:21;-55;-10.55, 0;0, 0;10.55
1674663508.451091413;2023-01-25 16:18:28;-53;-10.55, 0;0, 0;10.55
1674663508.502094654;2023-01-25 16:18:28;-53;-10.55, 0;0, 0;10.55
1674663508.505698636;2023-01-25 16:18:28;-54;-10.55, 0;0, 0;10.55
