Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1674665440.408881540;2023-01-25 16:50:40;-57;-10.55, -7.5;0, 0;12.944
1674665440.452239891;2023-01-25 16:50:40;-64;-10.55, -7.5;0, 0;12.944
1674665441.181208502;2023-01-25 16:50:41;-62;-10.55, -7.5;0, 0;12.944
1674665443.216252371;2023-01-25 16:50:43;-61;-10.55, -7.5;0, 0;12.944
1674665443.240169760;2023-01-25 16:50:43;-61;-10.55, -7.5;0, 0;12.944
1674665443.665019797;2023-01-25 16:50:43;-61;-10.55, -7.5;0, 0;12.944
1674665443.688848538;2023-01-25 16:50:43;-61;-10.55, -7.5;0, 0;12.944
1674665444.385037222;2023-01-25 16:50:44;-61;-10.55, -7.5;0, 0;12.944
1674665444.407882722;2023-01-25 16:50:44;-61;-10.55, -7.5;0, 0;12.944
1674665444.833557444;2023-01-25 16:50:44;-61;-10.55, -7.5;0, 0;12.944
1674665446.357921721;2023-01-25 16:50:46;-60;-10.55, -7.5;0, 0;12.944
1674665446.382302314;2023-01-25 16:50:46;-63;-10.55, -7.5;0, 0;12.944
1674665446.424797017;2023-01-25 16:50:46;-57;-10.55, -7.5;0, 0;12.944
1674665446.443979406;2023-01-25 16:50:46;-58;-10.55, -7.5;0, 0;12.944
1674665446.486702221;2023-01-25 16:50:46;-57;-10.55, -7.5;0, 0;12.944
1674665452.785026903;2023-01-25 16:50:52;-61;-10.55, -7.5;0, 0;12.944
1674665452.805950828;2023-01-25 16:50:52;-61;-10.55, -7.5;0, 0;12.944
1674665454.092578105;2023-01-25 16:50:54;-61;-10.55, -7.5;0, 0;12.944
1674665454.112937124;2023-01-25 16:50:54;-61;-10.55, -7.5;0, 0;12.944
1674665455.788866216;2023-01-25 16:50:55;-64;-10.55, -7.5;0, 0;12.944
1674665459.244182176;2023-01-25 16:50:59;-62;-10.55, -7.5;0, 0;12.944
1674665459.528573695;2023-01-25 16:50:59;-62;-10.55, -7.5;0, 0;12.944
1674665460.229362806;2023-01-25 16:51:00;-62;-10.55, -7.5;0, 0;12.944
1674665460.303951657;2023-01-25 16:51:00;-61;-10.55, -7.5;0, 0;12.944
1674665460.322756305;2023-01-25 16:51:00;-56;-10.55, -7.5;0, 0;12.944
1674665461.055240583;2023-01-25 16:51:01;-62;-10.55, -7.5;0, 0;12.944
1674665461.082614861;2023-01-25 16:51:01;-62;-10.55, -7.5;0, 0;12.944
1674665461.892014749;2023-01-25 16:51:01;-63;-10.55, -7.5;0, 0;12.944
1674665462.656346082;2023-01-25 16:51:02;-62;-10.55, -7.5;0, 0;12.944
1674665462.791224026;2023-01-25 16:51:02;-61;-10.55, -7.5;0, 0;12.944
1674665462.836202415;2023-01-25 16:51:02;-61;-10.55, -7.5;0, 0;12.944
1674665463.391589748;2023-01-25 16:51:03;-62;-10.55, -7.5;0, 0;12.944
1674665463.410217804;2023-01-25 16:51:03;-62;-10.55, -7.5;0, 0;12.944
1674665464.928956673;2023-01-25 16:51:04;-59;-10.55, -7.5;0, 0;12.944
1674665464.949055988;2023-01-25 16:51:04;-59;-10.55, -7.5;0, 0;12.944
1674665465.131773951;2023-01-25 16:51:05;-58;-10.55, -7.5;0, 0;12.944
1674665466.053301654;2023-01-25 16:51:06;-57;-10.55, -7.5;0, 0;12.944
1674665466.072524191;2023-01-25 16:51:06;-59;-10.55, -7.5;0, 0;12.944
1674665469.382727596;2023-01-25 16:51:09;-61;-10.55, -7.5;0, 0;12.944
1674665469.405272782;2023-01-25 16:51:09;-61;-10.55, -7.5;0, 0;12.944
