Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:20:05 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:06 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:08 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:09 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:10 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:12 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:13 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:14 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:16 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:19 2023;-50;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:22 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:24 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:27 2023;-98;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:28 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:31 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:33 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:34 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:35 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:37 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:40 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:41 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:43 2023;-65;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:45 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:46 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:48 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:50 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:51 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:55 2023;-66;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:58 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:20:59 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:00 2023;-53;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:01 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:02 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:03 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:07 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:08 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:11 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:12 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:13 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:16 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:17 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:18 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:20 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:21 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:23 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:24 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:25 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:26 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:28 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:30 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:31 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:32 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:34 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:35 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:38 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:39 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:40 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:41 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:43 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:44 2023;-65;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:45 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:47 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:48 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:49 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:52 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:53 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:55 2023;-66;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:56 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:57 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:21:58 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:00 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:01 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:02 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:03 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:06 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:07 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:08 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:10 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:13 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:14 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:17 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:18 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:19 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:22 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:23 2023;-66;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:25 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:27 2023;-66;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:28 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:29 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:30 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:32 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:33 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:34 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:35 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:37 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:38 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:39 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:41 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:43 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:45 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:46 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:48 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:51 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:53 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:54 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:55 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:56 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:22:59 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:00 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:04 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:05 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:06 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:07 2023;-65;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:09 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:10 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:11 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:12 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:15 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:16 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:18 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:20 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:21 2023;-63;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:22 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:23 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:25 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:26 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:30 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:31 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:34 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:35 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:37 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:38 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:39 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:40 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:42 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:44 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:45 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:46 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:47 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:48 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:50 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:52 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:55 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:56 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:57 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:23:59 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:00 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:02 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:03 2023;-64;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:04 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:07 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:08 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:11 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:12 2023;-66;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:13 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:14 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:16 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:18 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:19 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:21 2023;-67;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:22 2023;-68;-11.4, 15;4.6, 0;21.9317122
Thu Mar 16 10:24:23 2023;-68;-11.4, 15;4.6, 0;21.9317122
