Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678968261.170310622;2023-03-16 12:04:21;-83;16.4, -8.15;4.6, 0;14.34093791
1678968261.595549455;2023-03-16 12:04:21;-75;16.4, -8.15;4.6, 0;14.34093791
1678968261.614895511;2023-03-16 12:04:21;-75;16.4, -8.15;4.6, 0;14.34093791
1678968261.913423566;2023-03-16 12:04:21;-75;16.4, -8.15;4.6, 0;14.34093791
1678968262.621085362;2023-03-16 12:04:22;-72;16.4, -8.15;4.6, 0;14.34093791
1678968263.138113214;2023-03-16 12:04:23;-81;16.4, -8.15;4.6, 0;14.34093791
1678968263.157393695;2023-03-16 12:04:23;-80;16.4, -8.15;4.6, 0;14.34093791
1678968267.065548619;2023-03-16 12:04:27;-73;16.4, -8.15;4.6, 0;14.34093791
1678968267.085131322;2023-03-16 12:04:27;-73;16.4, -8.15;4.6, 0;14.34093791
1678968267.400360600;2023-03-16 12:04:27;-75;16.4, -8.15;4.6, 0;14.34093791
1678968267.419872545;2023-03-16 12:04:27;-75;16.4, -8.15;4.6, 0;14.34093791
1678968268.526844544;2023-03-16 12:04:28;-110;16.4, -8.15;4.6, 0;14.34093791
1678968272.833403023;2023-03-16 12:04:32;-75;16.4, -8.15;4.6, 0;14.34093791
1678968272.943640875;2023-03-16 12:04:32;-79;16.4, -8.15;4.6, 0;14.34093791
1678968272.999103337;2023-03-16 12:04:32;-74;16.4, -8.15;4.6, 0;14.34093791
1678968273.018462041;2023-03-16 12:04:33;-74;16.4, -8.15;4.6, 0;14.34093791
1678968273.702074022;2023-03-16 12:04:33;-75;16.4, -8.15;4.6, 0;14.34093791
1678968275.774434447;2023-03-16 12:04:35;-74;16.4, -8.15;4.6, 0;14.34093791
1678968276.075670576;2023-03-16 12:04:36;-75;16.4, -8.15;4.6, 0;14.34093791
1678968276.096170650;2023-03-16 12:04:36;-75;16.4, -8.15;4.6, 0;14.34093791
1678968277.262193798;2023-03-16 12:04:37;-74;16.4, -8.15;4.6, 0;14.34093791
1678968282.382680221;2023-03-16 12:04:42;-77;16.4, -8.15;4.6, 0;14.34093791
1678968282.404469832;2023-03-16 12:04:42;-76;16.4, -8.15;4.6, 0;14.34093791
1678968282.556249387;2023-03-16 12:04:42;-75;16.4, -8.15;4.6, 0;14.34093791
1678968282.577140110;2023-03-16 12:04:42;-75;16.4, -8.15;4.6, 0;14.34093791
1678968283.199598035;2023-03-16 12:04:43;-73;16.4, -8.15;4.6, 0;14.34093791
1678968283.304479387;2023-03-16 12:04:43;-71;16.4, -8.15;4.6, 0;14.34093791
1678968283.324804350;2023-03-16 12:04:43;-71;16.4, -8.15;4.6, 0;14.34093791
1678968283.954700405;2023-03-16 12:04:43;-76;16.4, -8.15;4.6, 0;14.34093791
1678968283.975756349;2023-03-16 12:04:43;-75;16.4, -8.15;4.6, 0;14.34093791
1678968284.084884183;2023-03-16 12:04:44;-74;16.4, -8.15;4.6, 0;14.34093791
1678968284.209858312;2023-03-16 12:04:44;-74;16.4, -8.15;4.6, 0;14.34093791
1678968284.234275775;2023-03-16 12:04:44;-72;16.4, -8.15;4.6, 0;14.34093791
1678968284.278006590;2023-03-16 12:04:44;-76;16.4, -8.15;4.6, 0;14.34093791
1678968284.297362960;2023-03-16 12:04:44;-77;16.4, -8.15;4.6, 0;14.34093791
1678968284.844500349;2023-03-16 12:04:44;-74;16.4, -8.15;4.6, 0;14.34093791
1678968284.864435590;2023-03-16 12:04:44;-74;16.4, -8.15;4.6, 0;14.34093791
1678968285.013606793;2023-03-16 12:04:45;-71;16.4, -8.15;4.6, 0;14.34093791
1678968285.894403867;2023-03-16 12:04:45;-78;16.4, -8.15;4.6, 0;14.34093791
1678968286.025445367;2023-03-16 12:04:46;-77;16.4, -8.15;4.6, 0;14.34093791
1678968286.654521792;2023-03-16 12:04:46;-77;16.4, -8.15;4.6, 0;14.34093791
1678968286.812288922;2023-03-16 12:04:46;-75;16.4, -8.15;4.6, 0;14.34093791
1678968287.715780810;2023-03-16 12:04:47;-70;16.4, -8.15;4.6, 0;14.34093791
1678968287.735085310;2023-03-16 12:04:47;17;16.4, -8.15;4.6, 0;14.34093791
1678968287.823266292;2023-03-16 12:04:47;-71;16.4, -8.15;4.6, 0;14.34093791
1678968287.843675310;2023-03-16 12:04:47;-72;16.4, -8.15;4.6, 0;14.34093791
1678968292.250129233;2023-03-16 12:04:52;-75;16.4, -8.15;4.6, 0;14.34093791
1678968292.269638863;2023-03-16 12:04:52;-74;16.4, -8.15;4.6, 0;14.34093791
1678968292.434612456;2023-03-16 12:04:52;-75;16.4, -8.15;4.6, 0;14.34093791
1678968292.455844122;2023-03-16 12:04:52;-74;16.4, -8.15;4.6, 0;14.34093791
1678968292.881854752;2023-03-16 12:04:52;-71;16.4, -8.15;4.6, 0;14.34093791
1678968294.039755751;2023-03-16 12:04:54;-74;16.4, -8.15;4.6, 0;14.34093791
1678968294.060805418;2023-03-16 12:04:54;-74;16.4, -8.15;4.6, 0;14.34093791
1678968295.014801454;2023-03-16 12:04:55;-74;16.4, -8.15;4.6, 0;14.34093791
1678968295.034333824;2023-03-16 12:04:55;-73;16.4, -8.15;4.6, 0;14.34093791
1678968295.235013732;2023-03-16 12:04:55;-70;16.4, -8.15;4.6, 0;14.34093791
1678968295.254403491;2023-03-16 12:04:55;-68;16.4, -8.15;4.6, 0;14.34093791
1678968296.246096805;2023-03-16 12:04:56;-74;16.4, -8.15;4.6, 0;14.34093791
1678968296.395870546;2023-03-16 12:04:56;-74;16.4, -8.15;4.6, 0;14.34093791
1678968296.414570157;2023-03-16 12:04:56;-74;16.4, -8.15;4.6, 0;14.34093791
1678968297.880899008;2023-03-16 12:04:57;-71;16.4, -8.15;4.6, 0;14.34093791
1678968297.900191915;2023-03-16 12:04:57;-71;16.4, -8.15;4.6, 0;14.34093791
1678968301.894775505;2023-03-16 12:05:01;-74;16.4, -8.15;4.6, 0;14.34093791
1678968302.265926746;2023-03-16 12:05:02;-74;16.4, -8.15;4.6, 0;14.34093791
1678968302.285317190;2023-03-16 12:05:02;-74;16.4, -8.15;4.6, 0;14.34093791
1678968303.974808671;2023-03-16 12:05:03;-74;16.4, -8.15;4.6, 0;14.34093791
1678968304.028375449;2023-03-16 12:05:04;-75;16.4, -8.15;4.6, 0;14.34093791
1678968304.091309115;2023-03-16 12:05:04;-71;16.4, -8.15;4.6, 0;14.34093791
1678968304.115720615;2023-03-16 12:05:04;-75;16.4, -8.15;4.6, 0;14.34093791
1678968304.135033541;2023-03-16 12:05:04;-75;16.4, -8.15;4.6, 0;14.34093791
1678968311.663706129;2023-03-16 12:05:11;-74;16.4, -8.15;4.6, 0;14.34093791
1678968311.684906426;2023-03-16 12:05:11;-74;16.4, -8.15;4.6, 0;14.34093791
1678968311.761134296;2023-03-16 12:05:11;-79;16.4, -8.15;4.6, 0;14.34093791
1678968312.934675277;2023-03-16 12:05:12;-75;16.4, -8.15;4.6, 0;14.34093791
1678968312.955266962;2023-03-16 12:05:12;-76;16.4, -8.15;4.6, 0;14.34093791
1678968313.844750165;2023-03-16 12:05:13;-77;16.4, -8.15;4.6, 0;14.34093791
1678968314.596043368;2023-03-16 12:05:14;-74;16.4, -8.15;4.6, 0;14.34093791
1678968315.280846534;2023-03-16 12:05:15;-71;16.4, -8.15;4.6, 0;14.34093791
1678968315.325804590;2023-03-16 12:05:15;-75;16.4, -8.15;4.6, 0;14.34093791
1678968316.056013460;2023-03-16 12:05:16;-72;16.4, -8.15;4.6, 0;14.34093791
1678968316.142764201;2023-03-16 12:05:16;-74;16.4, -8.15;4.6, 0;14.34093791
1678968317.678580700;2023-03-16 12:05:17;-75;16.4, -8.15;4.6, 0;14.34093791
1678968317.698938626;2023-03-16 12:05:17;-75;16.4, -8.15;4.6, 0;14.34093791
1678968317.779829607;2023-03-16 12:05:17;-77;16.4, -8.15;4.6, 0;14.34093791
1678968317.799137903;2023-03-16 12:05:17;-77;16.4, -8.15;4.6, 0;14.34093791
1678968320.923382790;2023-03-16 12:05:20;-75;16.4, -8.15;4.6, 0;14.34093791
1678968321.951330197;2023-03-16 12:05:21;-77;16.4, -8.15;4.6, 0;14.34093791
1678968323.606140548;2023-03-16 12:05:23;-75;16.4, -8.15;4.6, 0;14.34093791
1678968324.564194159;2023-03-16 12:05:24;-74;16.4, -8.15;4.6, 0;14.34093791
1678968325.352672936;2023-03-16 12:05:25;-74;16.4, -8.15;4.6, 0;14.34093791
1678968326.046593787;2023-03-16 12:05:26;-74;16.4, -8.15;4.6, 0;14.34093791
1678968326.112412584;2023-03-16 12:05:26;-73;16.4, -8.15;4.6, 0;14.34093791
1678968326.131716324;2023-03-16 12:05:26;-74;16.4, -8.15;4.6, 0;14.34093791
1678968326.277398972;2023-03-16 12:05:26;-74;16.4, -8.15;4.6, 0;14.34093791
1678968326.297287861;2023-03-16 12:05:26;-75;16.4, -8.15;4.6, 0;14.34093791
1678968326.379907009;2023-03-16 12:05:26;-97;16.4, -8.15;4.6, 0;14.34093791
1678968326.746161713;2023-03-16 12:05:26;-75;16.4, -8.15;4.6, 0;14.34093791
1678968327.188756527;2023-03-16 12:05:27;-78;16.4, -8.15;4.6, 0;14.34093791
1678968327.208030842;2023-03-16 12:05:27;-77;16.4, -8.15;4.6, 0;14.34093791
1678968327.558668935;2023-03-16 12:05:27;-77;16.4, -8.15;4.6, 0;14.34093791
1678968330.746445359;2023-03-16 12:05:30;-75;16.4, -8.15;4.6, 0;14.34093791
1678968330.874893044;2023-03-16 12:05:30;-73;16.4, -8.15;4.6, 0;14.34093791
1678968331.641906025;2023-03-16 12:05:31;-73;16.4, -8.15;4.6, 0;14.34093791
1678968332.034719210;2023-03-16 12:05:32;-74;16.4, -8.15;4.6, 0;14.34093791
1678968332.053490839;2023-03-16 12:05:32;-73;16.4, -8.15;4.6, 0;14.34093791
1678968332.120105617;2023-03-16 12:05:32;-75;16.4, -8.15;4.6, 0;14.34093791
1678968334.512283930;2023-03-16 12:05:34;-74;16.4, -8.15;4.6, 0;14.34093791
1678968335.994075893;2023-03-16 12:05:35;-77;16.4, -8.15;4.6, 0;14.34093791
1678968336.041239096;2023-03-16 12:05:36;-74;16.4, -8.15;4.6, 0;14.34093791
1678968336.061162133;2023-03-16 12:05:36;-73;16.4, -8.15;4.6, 0;14.34093791
1678968340.454326982;2023-03-16 12:05:40;-73;16.4, -8.15;4.6, 0;14.34093791
1678968341.106387612;2023-03-16 12:05:41;-75;16.4, -8.15;4.6, 0;14.34093791
1678968341.170081315;2023-03-16 12:05:41;-74;16.4, -8.15;4.6, 0;14.34093791
1678968341.189368612;2023-03-16 12:05:41;-74;16.4, -8.15;4.6, 0;14.34093791
1678968341.845104945;2023-03-16 12:05:41;-75;16.4, -8.15;4.6, 0;14.34093791
1678968342.616067981;2023-03-16 12:05:42;-74;16.4, -8.15;4.6, 0;14.34093791
1678968343.248631833;2023-03-16 12:05:43;-75;16.4, -8.15;4.6, 0;14.34093791
1678968343.290490425;2023-03-16 12:05:43;-72;16.4, -8.15;4.6, 0;14.34093791
1678968343.314193184;2023-03-16 12:05:43;-75;16.4, -8.15;4.6, 0;14.34093791
1678968344.002597554;2023-03-16 12:05:44;-75;16.4, -8.15;4.6, 0;14.34093791
1678968344.022297869;2023-03-16 12:05:44;-75;16.4, -8.15;4.6, 0;14.34093791
1678968344.246349239;2023-03-16 12:05:44;-73;16.4, -8.15;4.6, 0;14.34093791
1678968344.265739480;2023-03-16 12:05:44;-73;16.4, -8.15;4.6, 0;14.34093791
1678968344.891649998;2023-03-16 12:05:44;-75;16.4, -8.15;4.6, 0;14.34093791
1678968345.152141646;2023-03-16 12:05:45;-73;16.4, -8.15;4.6, 0;14.34093791
1678968345.172440535;2023-03-16 12:05:45;-73;16.4, -8.15;4.6, 0;14.34093791
1678968346.951452997;2023-03-16 12:05:46;-75;16.4, -8.15;4.6, 0;14.34093791
1678968350.104037366;2023-03-16 12:05:50;-74;16.4, -8.15;4.6, 0;14.34093791
1678968350.314415069;2023-03-16 12:05:50;-72;16.4, -8.15;4.6, 0;14.34093791
1678968352.832445845;2023-03-16 12:05:52;-74;16.4, -8.15;4.6, 0;14.34093791
1678968352.851771531;2023-03-16 12:05:52;-74;16.4, -8.15;4.6, 0;14.34093791
1678968352.876220160;2023-03-16 12:05:52;-71;16.4, -8.15;4.6, 0;14.34093791
1678968353.909496808;2023-03-16 12:05:53;-75;16.4, -8.15;4.6, 0;14.34093791
1678968354.752222029;2023-03-16 12:05:54;-76;16.4, -8.15;4.6, 0;14.34093791
1678968356.346448658;2023-03-16 12:05:56;-77;16.4, -8.15;4.6, 0;14.34093791
1678968359.834479804;2023-03-16 12:05:59;-74;16.4, -8.15;4.6, 0;14.34093791
1678968360.614967526;2023-03-16 12:06:00;-74;16.4, -8.15;4.6, 0;14.34093791
