TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:38:02 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:04 2023;-64;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:06 2023;-64;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:07 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:08 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:09 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:14 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:16 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:17 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:19 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:20 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:21 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:22 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:24 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:29 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:30 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:31 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:34 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:37 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:38 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:39 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:40 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:43 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:44 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:45 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:47 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:48 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:49 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:51 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:52 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:53 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:54 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:55 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:56 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:38:58 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:39:00 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:39:01 2023;-72;-0.4, 15;4.6, 0;15.8113883
