Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 11:45:39 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:40 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:41 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:45 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:47 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:48 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:49 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:50 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:52 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:53 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:55 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:56 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:45:58 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:00 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:01 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:02 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:04 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:05 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:07 2023;-67;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:10 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:14 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:15 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:18 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:20 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:21 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:24 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:25 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:26 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:27 2023;-68;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:30 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:31 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:33 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:34 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:35 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:36 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:37 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:38 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:39 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:40 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:44 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:47 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:48 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:51 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:52 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:57 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:46:59 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:02 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:05 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:07 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:08 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:09 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:11 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:12 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:13 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:15 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:16 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:17 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:18 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:20 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:21 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:22 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:23 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:24 2023;-68;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:25 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:26 2023;-72;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:30 2023;-73;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:35 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:36 2023;-69;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:37 2023;-70;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:38 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:40 2023;-74;-16.4, 7.5;4.6, 0;22.29910312
Thu Mar 16 11:47:41 2023;-71;-16.4, 7.5;4.6, 0;22.29910312
