Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678962071.123341441;2023-03-16 10:21:11;-70;-11.4, 15;4.6, 0;21.9317122
1678962071.647132256;2023-03-16 10:21:11;-69;-11.4, 15;4.6, 0;21.9317122
1678962076.167116994;2023-03-16 10:21:16;-68;-11.4, 15;4.6, 0;21.9317122
1678962077.064608623;2023-03-16 10:21:17;-68;-11.4, 15;4.6, 0;21.9317122
1678962077.741784012;2023-03-16 10:21:17;-69;-11.4, 15;4.6, 0;21.9317122
1678962077.936533604;2023-03-16 10:21:17;-69;-11.4, 15;4.6, 0;21.9317122
1678962078.554419622;2023-03-16 10:21:18;-69;-11.4, 15;4.6, 0;21.9317122
1678962078.576886919;2023-03-16 10:21:18;-70;-11.4, 15;4.6, 0;21.9317122
1678962078.620686715;2023-03-16 10:21:18;-77;-11.4, 15;4.6, 0;21.9317122
1678962078.639966085;2023-03-16 10:21:18;-75;-11.4, 15;4.6, 0;21.9317122
1678962079.368908807;2023-03-16 10:21:19;-72;-11.4, 15;4.6, 0;21.9317122
1678962081.276480917;2023-03-16 10:21:21;-70;-11.4, 15;4.6, 0;21.9317122
1678962081.465135528;2023-03-16 10:21:21;-73;-11.4, 15;4.6, 0;21.9317122
1678962081.550883120;2023-03-16 10:21:21;-69;-11.4, 15;4.6, 0;21.9317122
1678962081.734744343;2023-03-16 10:21:21;-63;-11.4, 15;4.6, 0;21.9317122
1678962082.420992638;2023-03-16 10:21:22;-65;-11.4, 15;4.6, 0;21.9317122
1678962082.440995194;2023-03-16 10:21:22;-65;-11.4, 15;4.6, 0;21.9317122
1678962082.702199694;2023-03-16 10:21:22;-61;-11.4, 15;4.6, 0;21.9317122
1678962082.726501175;2023-03-16 10:21:22;-59;-11.4, 15;4.6, 0;21.9317122
1678962082.955943657;2023-03-16 10:21:22;-64;-11.4, 15;4.6, 0;21.9317122
1678962086.382454636;2023-03-16 10:21:26;-72;-11.4, 15;4.6, 0;21.9317122
