TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678964167.722023673;2023-03-16 10:56:07;-66;-5.4, -15;4.6, 0;18.02775638
1678964167.852376025;2023-03-16 10:56:07;-84;-5.4, -15;4.6, 0;18.02775638
1678964167.924405488;2023-03-16 10:56:07;-65;-5.4, -15;4.6, 0;18.02775638
1678964168.616267247;2023-03-16 10:56:08;-66;-5.4, -15;4.6, 0;18.02775638
1678964168.999462080;2023-03-16 10:56:08;-62;-5.4, -15;4.6, 0;18.02775638
1678964170.000200172;2023-03-16 10:56:10;-63;-5.4, -15;4.6, 0;18.02775638
1678964170.019491413;2023-03-16 10:56:10;-62;-5.4, -15;4.6, 0;18.02775638
1678964173.590730762;2023-03-16 10:56:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964173.630694429;2023-03-16 10:56:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964174.282285799;2023-03-16 10:56:14;-65;-5.4, -15;4.6, 0;18.02775638
1678964174.644849632;2023-03-16 10:56:14;-66;-5.4, -15;4.6, 0;18.02775638
1678964175.894719946;2023-03-16 10:56:15;-66;-5.4, -15;4.6, 0;18.02775638
1678964176.116150113;2023-03-16 10:56:16;-66;-5.4, -15;4.6, 0;18.02775638
1678964178.134725963;2023-03-16 10:56:18;-65;-5.4, -15;4.6, 0;18.02775638
1678964178.158391667;2023-03-16 10:56:18;-65;-5.4, -15;4.6, 0;18.02775638
1678964179.339604981;2023-03-16 10:56:19;17;-5.4, -15;4.6, 0;18.02775638
1678964179.365751685;2023-03-16 10:56:19;-67;-5.4, -15;4.6, 0;18.02775638
1678964179.432081759;2023-03-16 10:56:19;-63;-5.4, -15;4.6, 0;18.02775638
1678964179.451479518;2023-03-16 10:56:19;-64;-5.4, -15;4.6, 0;18.02775638
1678964179.476117629;2023-03-16 10:56:19;-61;-5.4, -15;4.6, 0;18.02775638
1678964179.539487203;2023-03-16 10:56:19;-60;-5.4, -15;4.6, 0;18.02775638
1678964183.356473349;2023-03-16 10:56:23;-63;-5.4, -15;4.6, 0;18.02775638
1678964183.382752164;2023-03-16 10:56:23;-63;-5.4, -15;4.6, 0;18.02775638
1678964184.235521404;2023-03-16 10:56:24;-65;-5.4, -15;4.6, 0;18.02775638
1678964184.385514812;2023-03-16 10:56:24;-66;-5.4, -15;4.6, 0;18.02775638
1678964184.768307348;2023-03-16 10:56:24;-66;-5.4, -15;4.6, 0;18.02775638
1678964184.857072200;2023-03-16 10:56:24;-64;-5.4, -15;4.6, 0;18.02775638
1678964186.742304792;2023-03-16 10:56:26;-64;-5.4, -15;4.6, 0;18.02775638
1678964186.762339755;2023-03-16 10:56:26;-66;-5.4, -15;4.6, 0;18.02775638
1678964187.057308477;2023-03-16 10:56:27;-64;-5.4, -15;4.6, 0;18.02775638
1678964187.079808680;2023-03-16 10:56:27;-64;-5.4, -15;4.6, 0;18.02775638
1678964187.780127847;2023-03-16 10:56:27;-68;-5.4, -15;4.6, 0;18.02775638
1678964188.032301939;2023-03-16 10:56:28;-63;-5.4, -15;4.6, 0;18.02775638
1678964188.055243235;2023-03-16 10:56:28;-62;-5.4, -15;4.6, 0;18.02775638
1678964188.601077550;2023-03-16 10:56:28;-69;-5.4, -15;4.6, 0;18.02775638
1678964188.621578494;2023-03-16 10:56:28;-69;-5.4, -15;4.6, 0;18.02775638
1678964189.010030457;2023-03-16 10:56:29;-57;-5.4, -15;4.6, 0;18.02775638
1678964189.036090012;2023-03-16 10:56:29;-56;-5.4, -15;4.6, 0;18.02775638
1678964189.207300012;2023-03-16 10:56:29;-60;-5.4, -15;4.6, 0;18.02775638
1678964193.564870473;2023-03-16 10:56:33;-64;-5.4, -15;4.6, 0;18.02775638
1678964193.584822158;2023-03-16 10:56:33;-65;-5.4, -15;4.6, 0;18.02775638
1678964193.689559991;2023-03-16 10:56:33;-64;-5.4, -15;4.6, 0;18.02775638
1678964193.712101306;2023-03-16 10:56:33;-64;-5.4, -15;4.6, 0;18.02775638
1678964194.522704120;2023-03-16 10:56:34;-66;-5.4, -15;4.6, 0;18.02775638
1678964194.596867139;2023-03-16 10:56:34;-64;-5.4, -15;4.6, 0;18.02775638
1678964195.327407286;2023-03-16 10:56:35;-66;-5.4, -15;4.6, 0;18.02775638
1678964195.422364416;2023-03-16 10:56:35;-64;-5.4, -15;4.6, 0;18.02775638
1678964195.441133953;2023-03-16 10:56:35;-64;-5.4, -15;4.6, 0;18.02775638
1678964196.052145916;2023-03-16 10:56:36;-65;-5.4, -15;4.6, 0;18.02775638
1678964196.077202990;2023-03-16 10:56:36;-62;-5.4, -15;4.6, 0;18.02775638
1678964196.120895601;2023-03-16 10:56:36;-63;-5.4, -15;4.6, 0;18.02775638
1678964196.140229397;2023-03-16 10:56:36;-64;-5.4, -15;4.6, 0;18.02775638
1678964196.833965156;2023-03-16 10:56:36;-65;-5.4, -15;4.6, 0;18.02775638
1678964198.243691174;2023-03-16 10:56:38;17;-5.4, -15;4.6, 0;18.02775638
1678964198.266804192;2023-03-16 10:56:38;-63;-5.4, -15;4.6, 0;18.02775638
1678964204.110243800;2023-03-16 10:56:44;-65;-5.4, -15;4.6, 0;18.02775638
1678964204.737809040;2023-03-16 10:56:44;-64;-5.4, -15;4.6, 0;18.02775638
1678964205.587636040;2023-03-16 10:56:45;-66;-5.4, -15;4.6, 0;18.02775638
1678964207.048868131;2023-03-16 10:56:47;-66;-5.4, -15;4.6, 0;18.02775638
1678964207.068853354;2023-03-16 10:56:47;-65;-5.4, -15;4.6, 0;18.02775638
1678964207.367262909;2023-03-16 10:56:47;-59;-5.4, -15;4.6, 0;18.02775638
1678964207.431041872;2023-03-16 10:56:47;-62;-5.4, -15;4.6, 0;18.02775638
1678964207.457267390;2023-03-16 10:56:47;-70;-5.4, -15;4.6, 0;18.02775638
1678964207.523536464;2023-03-16 10:56:47;-67;-5.4, -15;4.6, 0;18.02775638
1678964208.072475205;2023-03-16 10:56:48;-68;-5.4, -15;4.6, 0;18.02775638
1678964208.092201483;2023-03-16 10:56:48;-69;-5.4, -15;4.6, 0;18.02775638
1678964212.012587425;2023-03-16 10:56:52;-65;-5.4, -15;4.6, 0;18.02775638
1678964212.337549184;2023-03-16 10:56:52;-66;-5.4, -15;4.6, 0;18.02775638
1678964212.357485406;2023-03-16 10:56:52;-66;-5.4, -15;4.6, 0;18.02775638
1678964213.159693591;2023-03-16 10:56:53;-66;-5.4, -15;4.6, 0;18.02775638
1678964213.503789813;2023-03-16 10:56:53;-64;-5.4, -15;4.6, 0;18.02775638
1678964213.527434109;2023-03-16 10:56:53;-64;-5.4, -15;4.6, 0;18.02775638
1678964214.608808627;2023-03-16 10:56:54;-65;-5.4, -15;4.6, 0;18.02775638
1678964214.638777571;2023-03-16 10:56:54;-65;-5.4, -15;4.6, 0;18.02775638
1678964226.107015324;2023-03-16 10:57:06;-65;-5.4, -15;4.6, 0;18.02775638
1678964226.126816990;2023-03-16 10:57:06;-64;-5.4, -15;4.6, 0;18.02775638
1678964233.058911634;2023-03-16 10:57:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964233.218533264;2023-03-16 10:57:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964233.238816560;2023-03-16 10:57:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964233.526520412;2023-03-16 10:57:13;-66;-5.4, -15;4.6, 0;18.02775638
1678964233.569949356;2023-03-16 10:57:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964233.589270597;2023-03-16 10:57:13;-63;-5.4, -15;4.6, 0;18.02775638
1678964234.997715041;2023-03-16 10:57:14;-66;-5.4, -15;4.6, 0;18.02775638
1678964235.081655337;2023-03-16 10:57:15;-63;-5.4, -15;4.6, 0;18.02775638
1678964235.103943874;2023-03-16 10:57:15;-63;-5.4, -15;4.6, 0;18.02775638
1678964235.810207429;2023-03-16 10:57:15;-67;-5.4, -15;4.6, 0;18.02775638
1678964235.830253059;2023-03-16 10:57:15;-65;-5.4, -15;4.6, 0;18.02775638
1678964236.911529447;2023-03-16 10:57:16;-63;-5.4, -15;4.6, 0;18.02775638
1678964237.191448965;2023-03-16 10:57:17;-64;-5.4, -15;4.6, 0;18.02775638
1678964237.211632669;2023-03-16 10:57:17;-65;-5.4, -15;4.6, 0;18.02775638
1678964241.889019518;2023-03-16 10:57:21;-66;-5.4, -15;4.6, 0;18.02775638
1678964241.912948111;2023-03-16 10:57:21;-66;-5.4, -15;4.6, 0;18.02775638
1678964243.103771425;2023-03-16 10:57:23;-66;-5.4, -15;4.6, 0;18.02775638
1678964243.457615610;2023-03-16 10:57:23;-66;-5.4, -15;4.6, 0;18.02775638
1678964244.855113479;2023-03-16 10:57:24;-63;-5.4, -15;4.6, 0;18.02775638
1678964245.825784293;2023-03-16 10:57:25;-63;-5.4, -15;4.6, 0;18.02775638
1678964246.091860553;2023-03-16 10:57:26;-68;-5.4, -15;4.6, 0;18.02775638
1678964246.111000201;2023-03-16 10:57:26;-67;-5.4, -15;4.6, 0;18.02775638
1678964246.220292886;2023-03-16 10:57:26;17;-5.4, -15;4.6, 0;18.02775638
1678964247.361597792;2023-03-16 10:57:27;-59;-5.4, -15;4.6, 0;18.02775638
1678964247.381588959;2023-03-16 10:57:27;-57;-5.4, -15;4.6, 0;18.02775638
1678964252.223623160;2023-03-16 10:57:32;-61;-5.4, -15;4.6, 0;18.02775638
1678964253.221621511;2023-03-16 10:57:33;-65;-5.4, -15;4.6, 0;18.02775638
1678964253.949187159;2023-03-16 10:57:33;-65;-5.4, -15;4.6, 0;18.02775638
1678964253.969007233;2023-03-16 10:57:33;-65;-5.4, -15;4.6, 0;18.02775638
1678964254.087968677;2023-03-16 10:57:34;-59;-5.4, -15;4.6, 0;18.02775638
1678964254.897905936;2023-03-16 10:57:34;-68;-5.4, -15;4.6, 0;18.02775638
1678964254.995385658;2023-03-16 10:57:34;-67;-5.4, -15;4.6, 0;18.02775638
1678964255.019288769;2023-03-16 10:57:35;-67;-5.4, -15;4.6, 0;18.02775638
1678964255.741644343;2023-03-16 10:57:35;-67;-5.4, -15;4.6, 0;18.02775638
1678964255.825213806;2023-03-16 10:57:35;-70;-5.4, -15;4.6, 0;18.02775638
1678964255.846831510;2023-03-16 10:57:35;-70;-5.4, -15;4.6, 0;18.02775638
1678964256.000407010;2023-03-16 10:57:36;17;-5.4, -15;4.6, 0;18.02775638
1678964256.192692398;2023-03-16 10:57:36;-59;-5.4, -15;4.6, 0;18.02775638
1678964256.322740120;2023-03-16 10:57:36;17;-5.4, -15;4.6, 0;18.02775638
1678964256.797918083;2023-03-16 10:57:36;-63;-5.4, -15;4.6, 0;18.02775638
1678964256.816672824;2023-03-16 10:57:36;-64;-5.4, -15;4.6, 0;18.02775638
1678964257.170789139;2023-03-16 10:57:37;-63;-5.4, -15;4.6, 0;18.02775638
1678964260.808544173;2023-03-16 10:57:40;-65;-5.4, -15;4.6, 0;18.02775638
1678964260.907974951;2023-03-16 10:57:40;-64;-5.4, -15;4.6, 0;18.02775638
1678964260.928023470;2023-03-16 10:57:40;-65;-5.4, -15;4.6, 0;18.02775638
1678964261.648489858;2023-03-16 10:57:41;-65;-5.4, -15;4.6, 0;18.02775638
1678964261.708981062;2023-03-16 10:57:41;-65;-5.4, -15;4.6, 0;18.02775638
1678964261.775217765;2023-03-16 10:57:41;-71;-5.4, -15;4.6, 0;18.02775638
1678964262.419525543;2023-03-16 10:57:42;-65;-5.4, -15;4.6, 0;18.02775638
1678964262.438361246;2023-03-16 10:57:42;-65;-5.4, -15;4.6, 0;18.02775638
1678964263.537619264;2023-03-16 10:57:43;-66;-5.4, -15;4.6, 0;18.02775638
1678964263.574226301;2023-03-16 10:57:43;-66;-5.4, -15;4.6, 0;18.02775638
1678964263.597955598;2023-03-16 10:57:43;-62;-5.4, -15;4.6, 0;18.02775638
1678964264.277149912;2023-03-16 10:57:44;-66;-5.4, -15;4.6, 0;18.02775638
1678964265.193457671;2023-03-16 10:57:45;-65;-5.4, -15;4.6, 0;18.02775638
1678964265.211746597;2023-03-16 10:57:45;-64;-5.4, -15;4.6, 0;18.02775638
1678964265.287123819;2023-03-16 10:57:45;-64;-5.4, -15;4.6, 0;18.02775638
1678964266.405802300;2023-03-16 10:57:46;17;-5.4, -15;4.6, 0;18.02775638
1678964266.428491337;2023-03-16 10:57:46;-60;-5.4, -15;4.6, 0;18.02775638
1678964270.993042056;2023-03-16 10:57:50;-65;-5.4, -15;4.6, 0;18.02775638
1678964271.012946093;2023-03-16 10:57:51;-66;-5.4, -15;4.6, 0;18.02775638
1678964271.146809130;2023-03-16 10:57:51;-63;-5.4, -15;4.6, 0;18.02775638
1678964271.166900389;2023-03-16 10:57:51;-63;-5.4, -15;4.6, 0;18.02775638
1678964272.116864407;2023-03-16 10:57:52;-65;-5.4, -15;4.6, 0;18.02775638
1678964272.326759685;2023-03-16 10:57:52;-63;-5.4, -15;4.6, 0;18.02775638
1678964272.349931185;2023-03-16 10:57:52;-64;-5.4, -15;4.6, 0;18.02775638
1678964273.245649333;2023-03-16 10:57:53;-65;-5.4, -15;4.6, 0;18.02775638
1678964273.267946944;2023-03-16 10:57:53;-65;-5.4, -15;4.6, 0;18.02775638
1678964273.511812073;2023-03-16 10:57:53;-63;-5.4, -15;4.6, 0;18.02775638
1678964274.396723295;2023-03-16 10:57:54;-66;-5.4, -15;4.6, 0;18.02775638
1678964274.688092832;2023-03-16 10:57:54;-64;-5.4, -15;4.6, 0;18.02775638
1678964274.706841572;2023-03-16 10:57:54;-63;-5.4, -15;4.6, 0;18.02775638
1678964275.620665850;2023-03-16 10:57:55;-72;-5.4, -15;4.6, 0;18.02775638
1678964276.436867571;2023-03-16 10:57:56;-72;-5.4, -15;4.6, 0;18.02775638
1678964276.456188738;2023-03-16 10:57:56;-65;-5.4, -15;4.6, 0;18.02775638
1678964276.750639923;2023-03-16 10:57:56;-63;-5.4, -15;4.6, 0;18.02775638
1678964280.217404736;2023-03-16 10:58:00;-65;-5.4, -15;4.6, 0;18.02775638
1678964280.239428847;2023-03-16 10:58:00;-66;-5.4, -15;4.6, 0;18.02775638
1678964280.438124051;2023-03-16 10:58:00;-64;-5.4, -15;4.6, 0;18.02775638
1678964280.460713810;2023-03-16 10:58:00;-63;-5.4, -15;4.6, 0;18.02775638
1678964281.414399068;2023-03-16 10:58:01;-66;-5.4, -15;4.6, 0;18.02775638
1678964281.616879624;2023-03-16 10:58:01;-66;-5.4, -15;4.6, 0;18.02775638
1678964281.640494550;2023-03-16 10:58:01;-64;-5.4, -15;4.6, 0;18.02775638
1678964282.571286716;2023-03-16 10:58:02;-67;-5.4, -15;4.6, 0;18.02775638
1678964282.593438271;2023-03-16 10:58:02;-66;-5.4, -15;4.6, 0;18.02775638
1678964282.958410271;2023-03-16 10:58:02;-63;-5.4, -15;4.6, 0;18.02775638
1678964284.059431122;2023-03-16 10:58:04;-68;-5.4, -15;4.6, 0;18.02775638
1678964284.315383270;2023-03-16 10:58:04;-62;-5.4, -15;4.6, 0;18.02775638
1678964284.338208289;2023-03-16 10:58:04;-63;-5.4, -15;4.6, 0;18.02775638
1678964285.205737603;2023-03-16 10:58:05;-71;-5.4, -15;4.6, 0;18.02775638
1678964285.622845362;2023-03-16 10:58:05;-77;-5.4, -15;4.6, 0;18.02775638
1678964285.850706121;2023-03-16 10:58:05;17;-5.4, -15;4.6, 0;18.02775638
1678964285.870336584;2023-03-16 10:58:05;17;-5.4, -15;4.6, 0;18.02775638
1678964286.291037010;2023-03-16 10:58:06;-77;-5.4, -15;4.6, 0;18.02775638
1678964290.108270897;2023-03-16 10:58:10;-65;-5.4, -15;4.6, 0;18.02775638
1678964290.365711359;2023-03-16 10:58:10;-64;-5.4, -15;4.6, 0;18.02775638
1678964291.858944859;2023-03-16 10:58:11;-66;-5.4, -15;4.6, 0;18.02775638
1678964293.126758636;2023-03-16 10:58:13;-65;-5.4, -15;4.6, 0;18.02775638
1678964293.146142802;2023-03-16 10:58:13;-64;-5.4, -15;4.6, 0;18.02775638
1678964293.365208895;2023-03-16 10:58:13;-80;-5.4, -15;4.6, 0;18.02775638
1678964293.384465413;2023-03-16 10:58:13;-80;-5.4, -15;4.6, 0;18.02775638
1678964294.802555338;2023-03-16 10:58:14;-65;-5.4, -15;4.6, 0;18.02775638
1678964296.129549097;2023-03-16 10:58:16;-65;-5.4, -15;4.6, 0;18.02775638
1678964296.726809522;2023-03-16 10:58:16;-66;-5.4, -15;4.6, 0;18.02775638
1678964300.502060594;2023-03-16 10:58:20;-67;-5.4, -15;4.6, 0;18.02775638
1678964301.676959668;2023-03-16 10:58:21;-64;-5.4, -15;4.6, 0;18.02775638
1678964301.705824334;2023-03-16 10:58:21;-64;-5.4, -15;4.6, 0;18.02775638
1678964301.814656908;2023-03-16 10:58:21;-65;-5.4, -15;4.6, 0;18.02775638
1678964302.827112334;2023-03-16 10:58:22;-65;-5.4, -15;4.6, 0;18.02775638
1678964303.997194444;2023-03-16 10:58:23;-67;-5.4, -15;4.6, 0;18.02775638
1678964304.019655018;2023-03-16 10:58:24;-68;-5.4, -15;4.6, 0;18.02775638
1678964304.172124981;2023-03-16 10:58:24;-68;-5.4, -15;4.6, 0;18.02775638
1678964304.194589740;2023-03-16 10:58:24;-68;-5.4, -15;4.6, 0;18.02775638
1678964350.796664583;2023-03-16 10:59:10;-65;-5.4, -15;4.6, 0;18.02775638
1678964350.819046083;2023-03-16 10:59:10;-65;-5.4, -15;4.6, 0;18.02775638
1678964351.357126582;2023-03-16 10:59:11;-65;-5.4, -15;4.6, 0;18.02775638
1678964351.969458471;2023-03-16 10:59:11;-66;-5.4, -15;4.6, 0;18.02775638
1678964351.989662304;2023-03-16 10:59:11;-64;-5.4, -15;4.6, 0;18.02775638
1678964352.547683767;2023-03-16 10:59:12;-66;-5.4, -15;4.6, 0;18.02775638
1678964352.996335248;2023-03-16 10:59:12;-65;-5.4, -15;4.6, 0;18.02775638
1678964353.347532248;2023-03-16 10:59:13;-67;-5.4, -15;4.6, 0;18.02775638
1678964353.789253155;2023-03-16 10:59:13;-61;-5.4, -15;4.6, 0;18.02775638
1678964353.811554970;2023-03-16 10:59:13;-62;-5.4, -15;4.6, 0;18.02775638
1678964354.610032340;2023-03-16 10:59:14;-73;-5.4, -15;4.6, 0;18.02775638
1678964354.629773636;2023-03-16 10:59:14;-72;-5.4, -15;4.6, 0;18.02775638
1678964358.611341041;2023-03-16 10:59:18;-66;-5.4, -15;4.6, 0;18.02775638
1678964358.630639541;2023-03-16 10:59:18;-65;-5.4, -15;4.6, 0;18.02775638
1678964358.757630911;2023-03-16 10:59:18;-64;-5.4, -15;4.6, 0;18.02775638
1678964358.780091393;2023-03-16 10:59:18;-63;-5.4, -15;4.6, 0;18.02775638
1678964359.218691670;2023-03-16 10:59:19;-65;-5.4, -15;4.6, 0;18.02775638
1678964359.261115948;2023-03-16 10:59:19;-68;-5.4, -15;4.6, 0;18.02775638
1678964360.339066021;2023-03-16 10:59:20;-65;-5.4, -15;4.6, 0;18.02775638
1678964360.380119670;2023-03-16 10:59:20;-65;-5.4, -15;4.6, 0;18.02775638
