Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Fri Mar 24 07:57:27 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:28 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:31 2023;-69;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:32 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:34 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:35 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:36 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:37 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:39 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:40 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:42 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:43 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:44 2023;-69;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:45 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:48 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:50 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:53 2023;-69;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:54 2023;-68;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:57 2023;-69;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:57:58 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:02 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:04 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:06 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:07 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:10 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:11 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:15 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:16 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:18 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:19 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:22 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:24 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:26 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:27 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:28 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:30 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:34 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:35 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:36 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:38 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:39 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:40 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:45 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:46 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:49 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:50 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:51 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:54 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:58:57 2023;-69;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:00 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:01 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:03 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:04 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:05 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:06 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:07 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:08 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:09 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:10 2023;-77;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:12 2023;-75;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:14 2023;-76;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:17 2023;-72;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:18 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:21 2023;-75;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:22 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:23 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:26 2023;-75;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:29 2023;-76;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:30 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:31 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:32 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:34 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:35 2023;-70;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:36 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:37 2023;-74;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:38 2023;-75;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:39 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:41 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:42 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:44 2023;-71;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:45 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:46 2023;-73;5.55, 15;0, 0;15.99382693
Fri Mar 24 07:59:50 2023;-75;5.55, 15;0, 0;15.99382693
