Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1679646577.228997236;2023-03-24 08:29:37;-54;-10.55, -6;0, 0;12.13682413
1679646577.252618607;2023-03-24 08:29:37;-55;-10.55, -6;0, 0;12.13682413
1679646577.296350496;2023-03-24 08:29:37;-60;-10.55, -6;0, 0;12.13682413
1679646578.249825791;2023-03-24 08:29:38;-59;-10.55, -6;0, 0;12.13682413
1679646578.562881717;2023-03-24 08:29:38;-58;-10.55, -6;0, 0;12.13682413
1679646578.850826272;2023-03-24 08:29:38;-57;-10.55, -6;0, 0;12.13682413
1679646582.963379714;2023-03-24 08:29:42;-54;-10.55, -6;0, 0;12.13682413
1679646583.289171362;2023-03-24 08:29:43;-52;-10.55, -6;0, 0;12.13682413
1679646583.309553288;2023-03-24 08:29:43;-52;-10.55, -6;0, 0;12.13682413
1679646585.795189453;2023-03-24 08:29:45;-55;-10.55, -6;0, 0;12.13682413
1679646585.838953361;2023-03-24 08:29:45;-60;-10.55, -6;0, 0;12.13682413
1679646587.039941897;2023-03-24 08:29:47;-54;-10.55, -6;0, 0;12.13682413
1679646587.309235453;2023-03-24 08:29:47;-54;-10.55, -6;0, 0;12.13682413
1679646587.329635434;2023-03-24 08:29:47;-54;-10.55, -6;0, 0;12.13682413
1679646587.961312452;2023-03-24 08:29:47;-55;-10.55, -6;0, 0;12.13682413
1679646588.591721785;2023-03-24 08:29:48;17;-10.55, -6;0, 0;12.13682413
1679646593.419267264;2023-03-24 08:29:53;-54;-10.55, -6;0, 0;12.13682413
1679646593.660678301;2023-03-24 08:29:53;-54;-10.55, -6;0, 0;12.13682413
1679646593.681763523;2023-03-24 08:29:53;-53;-10.55, -6;0, 0;12.13682413
1679646594.876829115;2023-03-24 08:29:54;-55;-10.55, -6;0, 0;12.13682413
1679646595.128073855;2023-03-24 08:29:55;-53;-10.55, -6;0, 0;12.13682413
1679646595.148023411;2023-03-24 08:29:55;-70;-10.55, -6;0, 0;12.13682413
1679646596.825017188;2023-03-24 08:29:56;-53;-10.55, -6;0, 0;12.13682413
1679646596.843991095;2023-03-24 08:29:56;-53;-10.55, -6;0, 0;12.13682413
1679646597.927269650;2023-03-24 08:29:57;-60;-10.55, -6;0, 0;12.13682413
1679646597.971675131;2023-03-24 08:29:57;-55;-10.55, -6;0, 0;12.13682413
1679646598.035308409;2023-03-24 08:29:58;-55;-10.55, -6;0, 0;12.13682413
1679646598.060305076;2023-03-24 08:29:58;-54;-10.55, -6;0, 0;12.13682413
1679646598.123393650;2023-03-24 08:29:58;-56;-10.55, -6;0, 0;12.13682413
1679646602.469387610;2023-03-24 08:30:02;-55;-10.55, -6;0, 0;12.13682413
1679646602.488146295;2023-03-24 08:30:02;-54;-10.55, -6;0, 0;12.13682413
1679646602.662175017;2023-03-24 08:30:02;-55;-10.55, -6;0, 0;12.13682413
1679646603.270410165;2023-03-24 08:30:03;-56;-10.55, -6;0, 0;12.13682413
1679646603.292015536;2023-03-24 08:30:03;-53;-10.55, -6;0, 0;12.13682413
1679646603.426906924;2023-03-24 08:30:03;-53;-10.55, -6;0, 0;12.13682413
1679646603.447025165;2023-03-24 08:30:03;-55;-10.55, -6;0, 0;12.13682413
1679646603.526050887;2023-03-24 08:30:03;-54;-10.55, -6;0, 0;12.13682413
1679646603.570357332;2023-03-24 08:30:03;-55;-10.55, -6;0, 0;12.13682413
1679646603.615364313;2023-03-24 08:30:03;-60;-10.55, -6;0, 0;12.13682413
1679646604.189424609;2023-03-24 08:30:04;-55;-10.55, -6;0, 0;12.13682413
1679646604.209095461;2023-03-24 08:30:04;-53;-10.55, -6;0, 0;12.13682413
1679646605.648162756;2023-03-24 08:30:05;-54;-10.55, -6;0, 0;12.13682413
1679646605.668479590;2023-03-24 08:30:05;-53;-10.55, -6;0, 0;12.13682413
1679646605.915893460;2023-03-24 08:30:05;-51;-10.55, -6;0, 0;12.13682413
1679646605.936899904;2023-03-24 08:30:05;-52;-10.55, -6;0, 0;12.13682413
1679646606.722520867;2023-03-24 08:30:06;-54;-10.55, -6;0, 0;12.13682413
1679646606.743200922;2023-03-24 08:30:06;-54;-10.55, -6;0, 0;12.13682413
1679646607.740689051;2023-03-24 08:30:07;-56;-10.55, -6;0, 0;12.13682413
1679646607.759987903;2023-03-24 08:30:07;-56;-10.55, -6;0, 0;12.13682413
1679646608.493214570;2023-03-24 08:30:08;-60;-10.55, -6;0, 0;12.13682413
1679646608.764422384;2023-03-24 08:30:08;-58;-10.55, -6;0, 0;12.13682413
1679646612.990796622;2023-03-24 08:30:12;-54;-10.55, -6;0, 0;12.13682413
1679646613.330694104;2023-03-24 08:30:13;-55;-10.55, -6;0, 0;12.13682413
1679646613.349637789;2023-03-24 08:30:13;-54;-10.55, -6;0, 0;12.13682413
1679646613.768982640;2023-03-24 08:30:13;-54;-10.55, -6;0, 0;12.13682413
1679646613.788277548;2023-03-24 08:30:13;-52;-10.55, -6;0, 0;12.13682413
1679646614.149225788;2023-03-24 08:30:14;-54;-10.55, -6;0, 0;12.13682413
1679646614.168671492;2023-03-24 08:30:14;-52;-10.55, -6;0, 0;12.13682413
1679646614.568494547;2023-03-24 08:30:14;-82;-10.55, -6;0, 0;12.13682413
1679646614.587724251;2023-03-24 08:30:14;-52;-10.55, -6;0, 0;12.13682413
1679646614.806741084;2023-03-24 08:30:14;-55;-10.55, -6;0, 0;12.13682413
1679646614.850525658;2023-03-24 08:30:14;-60;-10.55, -6;0, 0;12.13682413
1679646615.818607658;2023-03-24 08:30:15;-54;-10.55, -6;0, 0;12.13682413
1679646615.837774936;2023-03-24 08:30:15;-52;-10.55, -6;0, 0;12.13682413
1679646616.120460509;2023-03-24 08:30:16;-52;-10.55, -6;0, 0;12.13682413
1679646618.803291804;2023-03-24 08:30:18;-64;-10.55, -6;0, 0;12.13682413
1679646621.960002173;2023-03-24 08:30:21;-55;-10.55, -6;0, 0;12.13682413
1679646621.981456210;2023-03-24 08:30:21;-52;-10.55, -6;0, 0;12.13682413
1679646622.036231580;2023-03-24 08:30:22;-53;-10.55, -6;0, 0;12.13682413
1679646622.788310172;2023-03-24 08:30:22;-54;-10.55, -6;0, 0;12.13682413
1679646622.808091450;2023-03-24 08:30:22;-53;-10.55, -6;0, 0;12.13682413
1679646622.879064339;2023-03-24 08:30:22;-52;-10.55, -6;0, 0;12.13682413
1679646622.900882598;2023-03-24 08:30:22;-52;-10.55, -6;0, 0;12.13682413
1679646623.599575616;2023-03-24 08:30:23;-54;-10.55, -6;0, 0;12.13682413
1679646623.689695486;2023-03-24 08:30:23;-55;-10.55, -6;0, 0;12.13682413
1679646624.368495430;2023-03-24 08:30:24;-54;-10.55, -6;0, 0;12.13682413
1679646624.388462356;2023-03-24 08:30:24;-52;-10.55, -6;0, 0;12.13682413
1679646624.530729578;2023-03-24 08:30:24;-53;-10.55, -6;0, 0;12.13682413
1679646624.773379560;2023-03-24 08:30:24;-63;-10.55, -6;0, 0;12.13682413
1679646625.708320096;2023-03-24 08:30:25;-56;-10.55, -6;0, 0;12.13682413
1679646625.727671985;2023-03-24 08:30:25;-56;-10.55, -6;0, 0;12.13682413
1679646625.868354781;2023-03-24 08:30:25;-58;-10.55, -6;0, 0;12.13682413
1679646629.423416483;2023-03-24 08:30:29;-53;-10.55, -6;0, 0;12.13682413
1679646629.442144631;2023-03-24 08:30:29;-54;-10.55, -6;0, 0;12.13682413
1679646630.133538834;2023-03-24 08:30:30;-54;-10.55, -6;0, 0;12.13682413
1679646630.154615205;2023-03-24 08:30:30;-52;-10.55, -6;0, 0;12.13682413
1679646630.879628778;2023-03-24 08:30:30;-54;-10.55, -6;0, 0;12.13682413
1679646631.618446722;2023-03-24 08:30:31;-54;-10.55, -6;0, 0;12.13682413
1679646631.653137019;2023-03-24 08:30:31;-52;-10.55, -6;0, 0;12.13682413
1679646631.696863759;2023-03-24 08:30:31;-55;-10.55, -6;0, 0;12.13682413
1679646631.740642333;2023-03-24 08:30:31;-60;-10.55, -6;0, 0;12.13682413
1679646632.410917518;2023-03-24 08:30:32;-54;-10.55, -6;0, 0;12.13682413
1679646633.167831499;2023-03-24 08:30:33;-53;-10.55, -6;0, 0;12.13682413
1679646633.277183944;2023-03-24 08:30:33;-54;-10.55, -6;0, 0;12.13682413
1679646633.296244536;2023-03-24 08:30:33;-53;-10.55, -6;0, 0;12.13682413
1679646634.017230017;2023-03-24 08:30:34;-55;-10.55, -6;0, 0;12.13682413
1679646634.080891425;2023-03-24 08:30:34;-55;-10.55, -6;0, 0;12.13682413
1679646634.299735943;2023-03-24 08:30:34;-62;-10.55, -6;0, 0;12.13682413
1679646635.050998998;2023-03-24 08:30:35;-64;-10.55, -6;0, 0;12.13682413
1679646635.070259350;2023-03-24 08:30:35;17;-10.55, -6;0, 0;12.13682413
1679646635.320974146;2023-03-24 08:30:35;-59;-10.55, -6;0, 0;12.13682413
1679646635.340415998;2023-03-24 08:30:35;-56;-10.55, -6;0, 0;12.13682413
1679646638.768845070;2023-03-24 08:30:38;-54;-10.55, -6;0, 0;12.13682413
1679646639.048912848;2023-03-24 08:30:39;-52;-10.55, -6;0, 0;12.13682413
1679646639.069848348;2023-03-24 08:30:39;-53;-10.55, -6;0, 0;12.13682413
1679646639.657747236;2023-03-24 08:30:39;-55;-10.55, -6;0, 0;12.13682413
1679646639.798880014;2023-03-24 08:30:39;-52;-10.55, -6;0, 0;12.13682413
1679646639.819194384;2023-03-24 08:30:39;-53;-10.55, -6;0, 0;12.13682413
1679646640.211096347;2023-03-24 08:30:40;-56;-10.55, -6;0, 0;12.13682413
1679646642.403545697;2023-03-24 08:30:42;-55;-10.55, -6;0, 0;12.13682413
1679646642.419912401;2023-03-24 08:30:42;-52;-10.55, -6;0, 0;12.13682413
1679646643.644188475;2023-03-24 08:30:43;-54;-10.55, -6;0, 0;12.13682413
1679646644.120454567;2023-03-24 08:30:44;-63;-10.55, -6;0, 0;12.13682413
1679646644.141550437;2023-03-24 08:30:44;-63;-10.55, -6;0, 0;12.13682413
1679646644.541246381;2023-03-24 08:30:44;-58;-10.55, -6;0, 0;12.13682413
1679646645.543017103;2023-03-24 08:30:45;-64;-10.55, -6;0, 0;12.13682413
1679646649.348571434;2023-03-24 08:30:49;-54;-10.55, -6;0, 0;12.13682413
1679646649.615405693;2023-03-24 08:30:49;-54;-10.55, -6;0, 0;12.13682413
1679646650.969044489;2023-03-24 08:30:50;-53;-10.55, -6;0, 0;12.13682413
1679646651.276076303;2023-03-24 08:30:51;-53;-10.55, -6;0, 0;12.13682413
1679646651.295901303;2023-03-24 08:30:51;-54;-10.55, -6;0, 0;12.13682413
1679646651.356204896;2023-03-24 08:30:51;-52;-10.55, -6;0, 0;12.13682413
1679646651.380233877;2023-03-24 08:30:51;-55;-10.55, -6;0, 0;12.13682413
1679646651.423353377;2023-03-24 08:30:51;-60;-10.55, -6;0, 0;12.13682413
1679646652.679216802;2023-03-24 08:30:52;-54;-10.55, -6;0, 0;12.13682413
1679646652.930659469;2023-03-24 08:30:52;-55;-10.55, -6;0, 0;12.13682413
1679646652.948612765;2023-03-24 08:30:52;-53;-10.55, -6;0, 0;12.13682413
1679646653.535857506;2023-03-24 08:30:53;-53;-10.55, -6;0, 0;12.13682413
1679646653.554995728;2023-03-24 08:30:53;-52;-10.55, -6;0, 0;12.13682413
1679646653.741134394;2023-03-24 08:30:53;-53;-10.55, -6;0, 0;12.13682413
1679646653.761279191;2023-03-24 08:30:53;-54;-10.55, -6;0, 0;12.13682413
